Division,Season,Team,Club,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,9,EKSTRAND Hampus,Schiacciatore,2003,203,SWE,SWE,-,-,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,10,LARIZZA Jacopo,Centrale,1998,204,MC,ITA,-,-,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,11,LAWANI Ibrahim,Schiacciatore,2001,-,FRA,FRA,dal 25/01/2023,-,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,13,ANDREOPOULOS Charalampos,Schiacciatore,2001,192,GRE,GRE,-,-,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,14,PIERRI Francesco,Libero,1999,186,LE,ITA,-,-,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,18,COTTARELLI Francesco,Palleggiatore,1996,196,VR,ITA,-,-,,,,
A1,2022/2023,Gioiella Prisma Taranto,Taranto,7,LUCCONI Manuele,Schiacciatore,1999,194,PU,ITA,fino al 15/12/2022,-,,,,
A1,2022/2023,Itas Trentino,Trento,1,KAZIYSKI Matey,Schiacciatore,1984,203,BUL,BUL,-,-,,,,
A1,2022/2023,Itas Trentino,Trento,2,NELLI Gabriele,Schiacciatore,1993,208,LU,ITA,-,-,,,,
A1,2022/2023,Itas Trentino,Trento,3,D'HEER Wout,Centrale,2001,203,BEL,BEL,-,-,,,,
A1,2022/2023,Itas Trentino,Trento,4,DZAVORONOK Donovan,Schiacciatore,1997,202,CZE,CZE,-,-,,,,
A1,2022/2023,Itas Trentino,Trento,5,MICHIELETTO Alessandro,Schiacciatore,2001,211,BS,ITA,-,-,,,,
A1,2022/2023,Itas Trentino,Trento,6,SBERTOLI Riccardo,Palleggiatore,1998,190,MI,ITA,-,-,,,,
A1,2022/2023,Itas Trentino,Trento,7,CAVUTO Oreste,Schiacciatore,1996,200,CH,ITA,-,-,,,,
A1,2022/2023,Itas Trentino,Trento,8,PACE Domenico,Libero,2000,180,BA,ITA,-,-,,,,
A1,2022/2023,Itas Trentino,Trento,10,BERGER Martin,Centrale,2003,205,BZ,ITA,-,-,,,,
A1,2022/2023,Itas Trentino,Trento,11,DEPALMA Niccolò Antonio,Palleggiatore,2002,195,TN,ITA,-,-,,,,
A1,2022/2023,Itas Trentino,Trento,13,LAURENZANO Gabriele,Libero,2003,176,CS,ITA,-,-,,,,
A1,2022/2023,Itas Trentino,Trento,15,LAVIA Daniele,Schiacciatore,1999,200,CS,ITA,-,-,,,,
A1,2022/2023,Itas Trentino,Trento,18,PODRASCANIN Marko,Centrale,1987,203,SRB,SRB,-,-,,,,
A1,2022/2023,Itas Trentino,Trento,20,LISINAC Srecko,Centrale,1992,205,SRB,SRB,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,1,GARDINI Davide,Schiacciatore,1999,203,TV,ITA,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,3,CANELLA Andrea,Centrale,1998,200,PD,ITA,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,4,CENGIA Riccardo,Centrale,2001,198,VI,ITA,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,7,ZOPPELLARI Francesco,Palleggiatore,1997,185,PD,ITA,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,8,SAITTA Davide,Palleggiatore,1987,190,CT,ITA,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,9,GUZZO Tommaso,Schiacciatore,2002,197,PD,ITA,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,10,VOLPATO Marco,Centrale,1990,198,VI,ITA,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,13,ZENGER Julian,Libero,1997,190,GER,GER,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,14,TAKAHASHI Ran,Schiacciatore,2001,188,JPN,JPN,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,15,DESMET Mathijs,Schiacciatore,2000,198,BEL,BEL,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,18,LELLI Matteo,Libero,1995,181,PD,ITA,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,22,CROSATO Federico,Centrale,2002,200,TV,ITA,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,88,ASPARUHOV Asparuh,Schiacciatore,2000,200,BUL,BUL,-,-,,,,
A1,2022/2023,Pallavolo Padova,Padova,12,PETKOVIC Dusan,Schiacciatore,1992,199,SRB,SRB,fino al 15/03/2023,-,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,6,GIANNELLI Simone,Palleggiatore,1996,200,BZ,ITA,-,-,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,7,HERRERA JAIME Jesus,Schiacciatore,1995,196,CUB,CUB,-,-,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,8,RYCHLICKI Kamil,Schiacciatore,1996,204,LUX,LUX,-,-,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,9,LEON VENERO Wilfredo,Schiacciatore,1993,201,CUB,POL,-,-,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,10,PICCINELLI Alessandro,Libero,1997,189,MI,ITA,-,-,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,11,SOLÉ Sebastian,Centrale,1991,202,ARG,ITA,-,-,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,12,RUSSO Roberto,Centrale,1997,205,PA,ITA,-,-,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,13,COLACI Massimo,Libero,1985,180,LE,ITA,-,-,,,,
A1,2022/2023,Sir Safety Susa Perugia,Perugia,15,RESENDE GUALBERTO Flavio,Centrale,1993,200,BRA,BRA,-,-,,,,
