Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,1,Roberta Carraro,Palleggiatrice,ITA,181,1998,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,2,Kathryn Plummer,Schiacciatrice,USA,201,1998,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,3,Kelsey Robinson-Cook,Schiacciatrice,USA,188,1992,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,4,Federica Squarcini,Centrale,ITA,183,2000,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,5,Robin De Kruijf,Centrale,NED,193,1991,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,6,Alessia Gennari,Schiacciatrice,ITA,184,1991,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,7,Stephanie Samedy,Opposto,USA,188,1998,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,8,Alexa Gray,Schiacciatrice,CAN,185,1994,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,9,Marina Lubian,Centrale,ITA,192,2000,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,10,Monica De Gennaro,Libero,ITA,173,1987,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,11,Isabelle Haak,Opposto,SWE,194,1999,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,12,Ylenia Pericati,Libero,ITA,174,1994,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,14,Joanna Wolosz,Palleggiatrice,POL,181,1990,,,,
A1,Stagione2022/23,Prosecco Doc Imoco Conegliano,Conegliano,19,Sarah Fahr,Centrale,ITA,192,2001,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,1,Helena Cazaute,Schiacciatrice,FRA,184,1997,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,2,Rachele Morello,Palleggiatrice,ITA,182,2000,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,3,Olivia Rozanski,Schiacciatrice,POL,185,1997,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,4,Francesca Bosio,Palleggiatrice,ITA,180,1997,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,5,Ilaria Spirito,Libero,ITA,175,1994,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,6,Alessia Fini,Libero,ITA,170,2004,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,7,Stella Nervini,Schiacciatrice,ITA,184,2003,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,8,Kaja Grobelna,Opposto,BEL,188,1995,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,9,Francesca Villani,Schiacciatrice,ITA,187,1995,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,10,Brionne Butler,Centrale,USA,194,1999,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,11,Maja Storck,Opposto,SUI,183,1998,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,12,Alessia Mazzaro,Centrale,ITA,185,1998,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,14,Fatim Yassimina Kone,Centrale,ITA,182,2000,,,,
A1,Stagione2022/23,Reale Mutua Fenera Chieri,Chieri,17,Camilla Weitzel,Centrale,GER,195,2000,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,1,Indre Sorokaite,Schiacciatrice,ITA,188,1988,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,2,Sara Alberti,Centrale,ITA,185,1993,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,3,Yvon Belien,Centrale,NED,188,1993,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,4,Ting Zhu,Schiacciatrice,CHN,198,1994,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,6,Nicole Gamba,Libero,ITA,170,1998,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,7,Elena Pietrini,Schiacciatrice,ITA,186,2000,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,8,Enrica Merlo,Libero,ITA,170,1988,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,9,Camilla Mingardi,Schiacciatrice,ITA,186,1997,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,10,Di Yao,Palleggiatrice,CHN,182,1992,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,11,Yana Shcherban,Schiacciatrice,RUS,185,1989,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,12,Veronica Angeloni,Schiacciatrice,ITA,186,1986,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,13,Ludovica Guidi,Centrale,ITA,186,1992,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,15,Haleigh Washington,Centrale,USA,192,1995,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,17,Ekaterina Antropova,Opposto,RUS,202,2003,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,28,Brenda Castillo,Libero,DOM,167,1992,,,,
A1,Stagione2022/23,Savino Del Bene Scandicci,Scandicci,77,Isabella Di Iulio,Palleggiatrice,ITA,175,1991,,,,
A1,Stagione2022/23,Trasportipesanti Casalmaggiore,Casalmaggiore,1,Lauren Carlini,Palleggiatrice,USA,185,1995,,,,
