Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,,
A2,Stagione2022/23,Itas Ceccarelli Martignacco,Martignacco,8,Roxanne Wiblin,Schiacciatrice,USA,189,1998,,,,
A2,Stagione2022/23,Itas Ceccarelli Martignacco,Martignacco,10,Elisa Bole,Schiacciatrice,ITA,183,2003,,,,
A2,Stagione2022/23,Itas Ceccarelli Martignacco,Martignacco,11,Sara Cortella,Schiacciatrice,ITA,183,2002,,,,
A2,Stagione2022/23,Itas Ceccarelli Martignacco,Martignacco,12,Agata Tellone,Libero,ITA,165,2002,,,,
A2,Stagione2022/23,Itas Ceccarelli Martignacco,Martignacco,17,Katja Eckl,Centrale,ITA,188,2003,,,,
A2,Stagione2022/23,Itas Ceccarelli Martignacco,Martignacco,18,Bibiana Guzin,Centrale,ITA,184,2004,,,,
A2,Stagione2022/23,Omag-Mt San Giovanni In M.No,Marignano,1,Nikoleta Perovic,Opposto,MNE,185,1994,,,,
A2,Stagione2022/23,Omag-Mt San Giovanni In M.No,Marignano,2,Giulia Biagini,Libero,ITA,165,2000,,,,
A2,Stagione2022/23,Omag-Mt San Giovanni In M.No,Marignano,3,Alessia Bolzonetti,Schiacciatrice,ITA,185,2002,,,,
A2,Stagione2022/23,Omag-Mt San Giovanni In M.No,Marignano,4,Chiara Salvatori,Centrale,ITA,185,2003,,,,
A2,Stagione2022/23,Omag-Mt San Giovanni In M.No,Marignano,5,Sofia Cangini,Schiacciatrice,ITA,178,2005,,,,
A2,Stagione2022/23,Omag-Mt San Giovanni In M.No,Marignano,6,Vangeliya Rachkovska,Schiacciatrice,BUL,185,1997,,,,
A2,Stagione2022/23,Omag-Mt San Giovanni In M.No,Marignano,7,Clarissa Covino,Schiacciatrice,ITA,182,2001,,,,
A2,Stagione2022/23,Omag-Mt San Giovanni In M.No,Marignano,8,Giulia Saguatti,Schiacciatrice,ITA,178,1991,,,,
A2,Stagione2022/23,Omag-Mt San Giovanni In M.No,Marignano,9,Sveva Parini,Centrale,ITA,185,2001,,,,
A2,Stagione2022/23,Omag-Mt San Giovanni In M.No,Marignano,10,Mariaelena Aluigi,Palleggiatrice,ITA,175,2001,,,,
A2,Stagione2022/23,Omag-Mt San Giovanni In M.No,Marignano,12,Alice Turco,Palleggiatrice,ITA,178,2000,,,,
A2,Stagione2022/23,Omag-Mt San Giovanni In M.No,Marignano,14,Giorgia Caforio,Libero,ITA,168,1994,,,,
A2,Stagione2022/23,Omag-Mt San Giovanni In M.No,Marignano,18,Maria adelaide Babatunde,Centrale,ITA,188,1998,,,,
A2,Stagione2022/23,Roma Volley Club,Roma,1,Erblira Bici,Opposto,ALB,185,1995,,,,
A2,Stagione2022/23,Roma Volley Club,Roma,3,Marta Bechis,Palleggiatrice,ITA,180,1989,,,,
A2,Stagione2022/23,Roma Volley Club,Roma,4,Jessica Rivero,Schiacciatrice,CUB,181,1995,,,,
A2,Stagione2022/23,Roma Volley Club,Roma,5,Michela Ciarrocchi,Centrale,ITA,184,1999,,,,
A2,Stagione2022/23,Roma Volley Club,Roma,7,Martina Ferrara,Libero,ITA,168,1999,,,,
A2,Stagione2022/23,Roma Volley Club,Roma,8,Michela Rucli,Centrale,ITA,185,1996,,,,
A2,Stagione2022/23,Roma Volley Club,Roma,9,Sofia Valoppi,Libero,ITA,167,2003,,,,
A2,Stagione2022/23,Roma Volley Club,Roma,10,Alice De Luca Bossa,Palleggiatrice,ITA,177,2000,,,,
A2,Stagione2022/23,Roma Volley Club,Roma,13,Giulia Melli,Schiacciatrice,ITA,185,1998,,,,
A2,Stagione2022/23,Roma Volley Club,Roma,14,Marika Bianchini,Schiacciatrice,ITA,178,1993,,,,
A2,Stagione2022/23,Roma Volley Club,Roma,15,Sofia Rebora,Centrale,ITA,179,1993,,,,
A2,Stagione2022/23,Roma Volley Club,Roma,16,Giulia Valerio,Schiacciatrice,ITA,187,2003,,,,
A2,Stagione2022/23,Seap-Sigel Marsala,Marsala,1,Giulia Orlandi,Palleggiatrice,ITA,186,2004,,,,
A2,Stagione2022/23,Seap-Sigel Marsala,Marsala,2,Diana Spano,Opposto,ITA,184,1999,,,,
A2,Stagione2022/23,Seap-Sigel Marsala,Marsala,3,Elisa Deste,Centrale,ITA,188,2002,,,,
A2,Stagione2022/23,Seap-Sigel Marsala,Marsala,5,Maria Chiara Norgini,Libero,ITA,170,1998,,,,
A2,Stagione2022/23,Seap-Sigel Marsala,Marsala,6,Monika Salkute,Schiacciatrice,LTU,187,1993,,,,
A2,Stagione2022/23,Seap-Sigel Marsala,Marsala,7,Merle maria Baasdam,Opposto,NED,185,1998,,,,
A2,Stagione2022/23,Seap-Sigel Marsala,Marsala,9,Francesca Guarena,Centrale,ITA,193,2003,,,,
A2,Stagione2022/23,Seap-Sigel Marsala,Marsala,10,0 Szucs Kinga,Schiacciatrice,HUN,180,1993,,,,
A2,Stagione2022/23,Seap-Sigel Marsala,Marsala,11,Matilde Frigerio,Centrale,ITA,183,2002,,,,
A2,Stagione2022/23,Seap-Sigel Marsala,Marsala,13,Elisa maria Garofalo,Schiacciatrice,ITA,178,2002,,,,
A2,Stagione2022/23,Seap-Sigel Marsala,Marsala,14,Serena Moneta,Schiacciatrice,ITA,178,1990,,,,
A2,Stagione2022/23,Seap-Sigel Marsala,Marsala,16,Chiara Ghibaudo,Palleggiatrice,ITA,181,2003,,,,
A2,Stagione2022/23,Seap-Sigel Marsala,Marsala,18,Katarina Bulovic,Schiacciatrice,ITA,188,2002,,,,
A2,Stagione2022/23,Volley Soverato,Soverato,1,Emma Malinov,Palleggiatrice,ITA,175,2003,,,,
A2,Stagione2022/23,Volley Soverato,Soverato,4,Courtney Rose Schwan,Schiacciatrice,USA,185,1996,,,,
A2,Stagione2022/23,Volley Soverato,Soverato,5,Ilenia Cecchi,Centrale,ITA,183,1984,,,,
A2,Stagione2022/23,Volley Soverato,Soverato,6,Federica Ferrario,Libero,ITA,162,2001,,,,
A2,Stagione2022/23,Volley Soverato,Soverato,7,Sofia Giambanco,Centrale,ITA,186,2004,,,,
A2,Stagione2022/23,Volley Soverato,Soverato,8,Nicol Cherepova,Palleggiatrice,BUL,180,2002,,,,
A2,Stagione2022/23,Volley Soverato,Soverato,9,Linda Giugovaz,Schiacciatrice,ITA,182,2000,,,,
A2,Stagione2022/23,Volley Soverato,Soverato,10,Vittoria Zuliani,Schiacciatrice,ITA,183,2004,,,,
A2,Stagione2022/23,Volley Soverato,Soverato,11,Benedetta Salviato,Libero,ITA,170,2004,,,,
A2,Stagione2022/23,Volley Soverato,Soverato,12,Piia Korhonen,Opposto,FIN,187,1997,,,,
A2,Stagione2022/23,Volley Soverato,Soverato,16,Gaia Tolotti,Schiacciatrice,,182,2003,,,,
A2,Stagione2022/23,Volley Soverato,Soverato,17,Mariasofia Barbaro,Schiacciatrice,ITA,190,2003,,,,
