Season	Serie	Team	No	Player	Role	Born	Height	Nat. Sport.	Note
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	13	SCARABELLI CHIARA	Spiker	1993	182	ITA	until 14/01/2012
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	14	CELLA ELISA	Spiker	1982	186	ITA	
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	15	KAJALINA ANNA	Spiker	1991	205	EST	
2011-2012	A1	Rebecchi Nordmeccanica Piacenza	18	MALVESTITO SERENA	Middleblocker	1988	185	ITA	from 22/01/2012
2011-2012	A1	Riso Scotti Pavia	2	DEGRADI ALICE	Spiker	1996	181	ITA	
2011-2012	A1	Riso Scotti Pavia	3	GENNARI ALESSIA	Spiker	1991	184	ITA	
2011-2012	A1	Riso Scotti Pavia	4	BARBIERI LINDA	Libero	1993	163	ITA	
2011-2012	A1	Riso Scotti Pavia	5	BALBONI MARTINA	Setter	1991	180	ITA	
2011-2012	A1	Riso Scotti Pavia	7	MARICIC GORANA	Spiker	1984	187	SRB	until 21/01/2012
2011-2012	A1	Riso Scotti Pavia	8	VICINANZA ROSALBA	Setter	1994	180	ITA	
2011-2012	A1	Riso Scotti Pavia	9	FIORI SILVIA	Libero	1994	160	ITA	
2011-2012	A1	Riso Scotti Pavia	10	LAMB DOMINIQUE	Middleblocker	1985	186	USA	
2011-2012	A1	Riso Scotti Pavia	11	JALINE PRADO DE OLIVEIRA	Spiker	1979	190	BRA	from 12/01/2012
2011-2012	A1	Riso Scotti Pavia	13	BRAMBOROVA IVANA	Spiker	1985	187	SVK	
2011-2012	A1	Riso Scotti Pavia	15	KOEVA GABRIELA	Middleblocker	1989	188	BUL	
2011-2012	A1	Riso Scotti Pavia	18	PETKOVA ILIYANA	Middleblocker	1977	191	BUL	from 12/01/2012
2011-2012	A1	Scavolini Pesaro	1	ORTOLANI SERENA	Spiker	1987	187	ITA	
2011-2012	A1	Scavolini Pesaro	2	AGOSTINETTO GIULIA	Setter	1987	179	ITA	
2011-2012	A1	Scavolini Pesaro	4	BRINKER MAREN	Spiker	1986	184	GER	
2011-2012	A1	Scavolini Pesaro	5	KLINEMAN ALEXANDRA ROSE	Spiker	1989	195	USA	
2011-2012	A1	Scavolini Pesaro	7	DE GENNARO MONICA	Libero	1987	173	ITA	
2011-2012	A1	Scavolini Pesaro	8	SACCOMANI LAURA	Spiker	1991	191	ITA	
2011-2012	A1	Scavolini Pesaro	9	MANZANO ELISA	Middleblocker	1985	187	ITA	
2011-2012	A1	Scavolini Pesaro	10	FERRETTI FRANCESCA	Setter	1984	180	ITA	
2011-2012	A1	Scavolini Pesaro	11	TOMSIA BERENIKA	Middleblocker	1988	189	POL	
2011-2012	A1	Scavolini Pesaro	12	AMPUDIA PAOLA	Spiker	1988	186	COL	
2011-2012	A1	Scavolini Pesaro	17	CARDANI ELISA	Libero	1990	170	ITA	from 13/01/2012
2011-2012	A1	Scavolini Pesaro	18	MUSTI DE GENNARO LULAMA	Middleblocker	1983	185	ITA	
2011-2012	A1	Spes Conegliano	2	ANGELONI VERONICA	Spiker	1986	186	ITA	until 02/01/2012
2011-2012	A1	Spes Conegliano	3	GALLAS MARIA TERESA	Setter	1976	170	ITA	until 02/01/2012
2011-2012	A1	Spes Conegliano	4	NEMTANU IOANA	Spiker	1989	182	ROM	until 02/01/2012
2011-2012	A1	Spes Conegliano	5	KIRWAN FRANCESCA	Spiker	1993	178	ITA	until 02/01/2012
2011-2012	A1	Spes Conegliano	6	WEISS KATHLEEN	Setter	1984	171	GER	until 02/01/2012
2011-2012	A1	Spes Conegliano	7	DAMINATO CARLOTTA	Libero	1993	160	ITA	until 02/01/2012
2011-2012	A1	Spes Conegliano	10	RICHARDS KRISTIN	Spiker	1985	186	USA	until 31/12/2011
2011-2012	A1	Spes Conegliano	11	MARTINUZZO LINDA	Middleblocker	1992	188	ITA	until 02/01/2012
2011-2012	A1	Spes Conegliano	12	ROSSETTO CARLA	Libero	1984	168	ITA	until 02/01/2012
2011-2012	A1	Spes Conegliano	14	NIKOLOVA EMILIYA	Spiker	1991	185	BUL	until 02/01/2012
2011-2012	A1	Spes Conegliano	15	CROZZOLIN ALESSANDRA	Middleblocker	1977	186	ITA	until 02/01/2012
2011-2012	A1	Spes Conegliano	18	MALVESTITO SERENA	Middleblocker	1988	185	ITA	until 02/01/2012
2011-2012	A1	Yamamay Busto Arsizio	3	LLOYD CARLI	Setter	1989	178	USA	
2011-2012	A1	Yamamay Busto Arsizio	4	HAVLICKOVA ANETA	Spiker	1987	193	CZE	
2011-2012	A1	Yamamay Busto Arsizio	5	DALL'ORA CHIARA	Middleblocker	1983	187	ITA	
2011-2012	A1	Yamamay Busto Arsizio	6	LEONARDI GIULIA	Libero	1987	165	ITA	
2011-2012	A1	Yamamay Busto Arsizio	7	MARCON FRANCESCA	Spiker	1983	180	ITA	
2011-2012	A1	Yamamay Busto Arsizio	8	BAUER CHRISTINA	Middleblocker	1988	196	FRA	
2011-2012	A1	Yamamay Busto Arsizio	9	MEIJNERS FLOORTJE	Spiker	1987	192	NED	
2011-2012	A1	Yamamay Busto Arsizio	10	LOTTI SILVIA	Spiker	1992	188	ITA	
2011-2012	A1	Yamamay Busto Arsizio	14	CARACUTA VALERIA	Setter	1987	173	ITA	
2011-2012	A1	Yamamay Busto Arsizio	16	HAVELKOVA HELENA	Spiker	1988	188	CZE	
2011-2012	A1	Yamamay Busto Arsizio	17	PISANI GIULIA	Middleblocker	1992	184	ITA	
2011-2012	A1	Yamamay Busto Arsizio	18	BISCONTI VERONICA	Libero	1991	172	ITA	
2012-2013	A1	Assicuratrice Milanese Volley Modena	3	CROCE PAOLA	Libero	1978	167	ITA	until 24/01/2013
2012-2013	A1	Assicuratrice Milanese Volley Modena	4	VALERIANO FEDERICA	Spiker	1985	179	ITA	until 24/01/2013
2012-2013	A1	Assicuratrice Milanese Volley Modena	5	PAGGI PAOLA	Middleblocker	1976	182	ITA	until 24/01/2013
2012-2013	A1	Assicuratrice Milanese Volley Modena	6	GLASS ALISHA	Setter	1988	184	USA	until 24/01/2013
2012-2013	A1	Assicuratrice Milanese Volley Modena	8	BARAZZA JENNY	Middleblocker	1981	188	ITA	until 24/01/2013
2012-2013	A1	Assicuratrice Milanese Volley Modena	9	SPASOJEVIC ANJA	Spiker	1983	187	SRB	until 24/01/2013
2012-2013	A1	Assicuratrice Milanese Volley Modena	11	BRUSSA NATALIA GUADALUPE	Spiker	1985	188	ITA	until 24/01/2013
2012-2013	A1	Assicuratrice Milanese Volley Modena	12	AGUERO TAISMARY	Spiker	1977	178	ITA	until 24/01/2013
2012-2013	A1	Assicuratrice Milanese Volley Modena	13	HARMOTTO CHRISTA	Middleblocker	1986	188	USA	until 24/01/2013
2012-2013	A1	Assicuratrice Milanese Volley Modena	15	RINIERI SIMONA	Spiker	1977	187	ITA	until 04/01/2013
2012-2013	A1	Assicuratrice Milanese Volley Modena	16	SCARABELLI CHIARA	Spiker	1993	182	ITA	until 24/01/2013
2012-2013	A1	Assicuratrice Milanese Volley Modena	17	MARI FRANCESCA	Setter	1983	182	ITA	until 05/01/2013
2012-2013	A1	Assicuratrice Milanese Volley Modena	18	HORVATH DORA	Spiker	1988	187	HUN	until 24/01/2013
2012-2013	A1	Banca Reale Yoyogurt Giaveno	1	ENGLE ASHLEY LAUREN	Spiker	1988	192	USA	until 26/12/2012
2012-2013	A1	Banca Reale Yoyogurt Giaveno	2	CECCHETTO GIADA	Libero	1991	163	ITA	from 01/10/2012
2012-2013	A1	Banca Reale Yoyogurt Giaveno	3	TOGUT ELISA	Spiker	1978	192	ITA	
2012-2013	A1	Banca Reale Yoyogurt Giaveno	4	MURREY TARAH	Spiker	1990	190	USA	until 14/03/2013
2012-2013	A1	Banca Reale Yoyogurt Giaveno	5	DALL'ORA CHIARA	Middleblocker	1983	187	ITA	
2012-2013	A1	Banca Reale Yoyogurt Giaveno	6	GROTHUES-BALKENSTEIN MARET	Spiker	1988	180	NED	until 26/12/2012
2012-2013	A1	Banca Reale Yoyogurt Giaveno	7	SACCOMANI LAURA	Spiker	1991	191	ITA	from 28/12/2012
2012-2013	A1	Banca Reale Yoyogurt Giaveno	8	MOLINENGO MICHELA	Libero	1978	162	ITA	
2012-2013	A1	Banca Reale Yoyogurt Giaveno	9	DON? MELISSA	Spiker	1982	180	ITA	
2012-2013	A1	Banca Reale Yoyogurt Giaveno	10	PINCERATO GIULIA	Setter	1987	182	ITA	
2012-2013	A1	Banca Reale Yoyogurt Giaveno	11	LUCIANI NICOLETTA	Middleblocker	1979	185	ITA	
2012-2013	A1	Banca Reale Yoyogurt Giaveno	12	KAUFFELDT BERIT	Middleblocker	1990	190	GER	
2012-2013	A1	Banca Reale Yoyogurt Giaveno	14	DALIA LUDOVICA	Setter	1984	180	ITA	from 11/01/2013
2012-2013	A1	Banca Reale Yoyogurt Giaveno	15	NAPOLITANO SENKOVA JANA	Spiker	1982	182	CZE	
2012-2013	A1	Banca Reale Yoyogurt Giaveno	17	DEMICHELIS ILARIA	Setter	1987	178	ITA	until 18/01/2013
2012-2013	A1	Chateau D'Ax Urbino Volley	2	GIOMBETTI SOFIA	Libero	1995	165	ITA	
2012-2013	A1	Chateau D'Ax Urbino Volley	3	NEGRINI CHIARA	Spiker	1979	183	ITA	
2012-2013	A1	Chateau D'Ax Urbino Volley	4	DUGANDZIC ILIJANA	Middleblocker	1981	189	CRO	from 09/10/2012
2012-2013	A1	Chateau D'Ax Urbino Volley	5	SYKORA STACY	Libero	1977	170	USA	until 11/12/2012
2012-2013	A1	Chateau D'Ax Urbino Volley	6	VAN HECKE LISE	Spiker	1992	192	BEL	
2012-2013	A1	Chateau D'Ax Urbino Volley	7	PETRAUSKAITE VALDONE	Spiker	1984	181	LTU	
2012-2013	A1	Chateau D'Ax Urbino Volley	8	VALLESE ANTONIETTA	Libero	1983	165	ITA	from 11/10/2012 until 29/01/2013
2012-2013	A1	Chateau D'Ax Urbino Volley	9	SANTINI ALICE	Spiker	1984	181	ITA	
2012-2013	A1	Chateau D'Ax Urbino Volley	10	PARTENIO LAURA	Spiker	1991	180	ITA	
2012-2013	A1	Chateau D'Ax Urbino Volley	11	CROCE PAOLA	Libero	1978	167	ITA	from 30/01/2013
2012-2013	A1	Chateau D'Ax Urbino Volley	12	GENTILI FRANCESCA	Middleblocker	1990	188	ITA	
2012-2013	A1	Chateau D'Ax Urbino Volley	13	DALL'IGNA STEFANIA	Setter	1984	175	ITA	
2012-2013	A1	Chateau D'Ax Urbino Volley	14	CRISANTI LUCIA	Middleblocker	1986	187	ITA	
2012-2013	A1	Chateau D'Ax Urbino Volley	15	ANGELELLI ILARIA	Setter	1986	172	ITA	
2012-2013	A1	Chateau D'Ax Urbino Volley	18	LEGGS KIESHA	Middleblocker	1990	186	USA	
2012-2013	A1	Duck Farm Chieri Torino Volley Club	1	FRIGO LAURA	Middleblocker	1990	185	ITA	from 15/01/2013
2012-2013	A1	Duck Farm Chieri Torino Volley Club	2	BORGOGNO CHIARA	Middleblocker	1984	192	ITA	
2012-2013	A1	Duck Farm Chieri Torino Volley Club	3	BECHIS MARTA	Setter	1989	181	ITA	
2012-2013	A1	Duck Farm Chieri Torino Volley Club	5	SIRRESSI IMMA	Libero	1990	175	ITA	
2012-2013	A1	Duck Farm Chieri Torino Volley Club	6	GENNARI ALESSIA	Spiker	1991	184	ITA	from 15/01/2013
2012-2013	A1	Duck Farm Chieri Torino Volley Club	6	POTOKAR MONIKA	Spiker	1987	177	SLO	until 15/01/2013
2012-2013	A1	Duck Farm Chieri Torino Volley Club	7	GUIGGI MARTINA	Middleblocker	1984	188	ITA	until 14/01/2013
2012-2013	A1	Duck Farm Chieri Torino Volley Club	8	RAVETTA MONICA	Spiker	1985	185	ITA	
2012-2013	A1	Duck Farm Chieri Torino Volley Club	9	SOROKAITE INDRE	Spiker	1988	188	ITA	until 17/12/2012
2012-2013	A1	Duck Farm Chieri Torino Volley Club	10	FERNANDEZ NAVARRO AMARANTA	Middleblocker	1983	188	ESP	
2012-2013	A1	Duck Farm Chieri Torino Volley Club	11	VIETTI ERICA	Setter	1992	187	ITA	
2012-2013	A1	Duck Farm Chieri Torino Volley Club	12	PICCININI FRANCESCA	Spiker	1979	185	ITA	
2012-2013	A1	Duck Farm Chieri Torino Volley Club	14	FABRIS SAMANTA	Spiker	1992	189	CRO	
2012-2013	A1	Duck Farm Chieri Torino Volley Club	15	ZAURI ROSSANA	Libero	1991	172	ITA	
2012-2013	A1	Duck Farm Chieri Torino Volley Club	17	VINDEVOGHEL LIESBET	Spiker	1979	189	BEL	
2012-2013	A1	Foppapedretti Bergamo	1	KLISURA SARA	Spiker	1992	188	SRB	
2012-2013	A1	Foppapedretti Bergamo	3	BRUNO ELEONORA	Libero	1994	180	ITA	
2012-2013	A1	Foppapedretti Bergamo	4	CRIMES ALEXIS	Middleblocker	1986	191	USA	
2012-2013	A1	Foppapedretti Bergamo	5	BROWN BLAIR	Spiker	1988	178	USA	
2012-2013	A1	Foppapedretti Bergamo	6	WEISS KATHLEEN	Setter	1984	171	GER	
2012-2013	A1	Foppapedretti Bergamo	7	BLAGOJEVIC JELENA	Spiker	1988	181	SRB	
2012-2013	A1	Foppapedretti Bergamo	8	MERLO ENRICA	Libero	1988	170	ITA	
2012-2013	A1	Foppapedretti Bergamo	9	DI IULIO CHIARA	Spiker	1985	185	ITA	
2012-2013	A1	Foppapedretti Bergamo	10	DEVETAG FRANCESCA	Middleblocker	1986	186	ITA	
2012-2013	A1	Foppapedretti Bergamo	13	DIOUF VALENTINA	Spiker	1993	202	ITA	
2012-2013	A1	Foppapedretti Bergamo	15	BALBONI MARTINA	Setter	1991	180	ITA	
2012-2013	A1	Foppapedretti Bergamo	18	ZAMBELLI MARINA	Middleblocker	1990	187	ITA	
2012-2013	A1	Icos Crema Volley	1	PAOLINI LAUREN	Middleblocker	1987	192	USA	until 10/01/2013
2012-2013	A1	Icos Crema Volley	2	NUCU IULIANA	Middleblocker	1980	183	ROM	until 10/01/2013
2012-2013	A1	Icos Crema Volley	3	PORTALUPI ELENA	Libero	1987	167	ITA	until 10/01/2013
2012-2013	A1	Icos Crema Volley	4	NICOLINI CECILIA	Setter	1994	181	ITA	until 10/01/2013
2012-2013	A1	Icos Crema Volley	5	DALIA LUDOVICA	Setter	1984	180	ITA	until 10/01/2013
2012-2013	A1	Icos Crema Volley	6	GARCIA ZULETA LORENA ALEXANDRA	Middleblocker	1981	192	COL	until 10/01/2013
2012-2013	A1	Icos Crema Volley	7	OKAKA STEFANIA	Spiker	1989	183	ITA	until 10/01/2013
2012-2013	A1	Icos Crema Volley	8	MATUSZKOVA TEREZA	Spiker	1982	192	CZE	until 10/01/2013
2012-2013	A1	Icos Crema Volley	9	LEHTONEN RIIKKA	Spiker	1979	183	FIN	until 04/01/2013
2012-2013	A1	Icos Crema Volley	10	SACCOMANI LAURA	Spiker	1991	191	ITA	until 27/12/2012
2012-2013	A1	Icos Crema Volley	11	MARC DIANA RAMONA	Spiker	1979	183	ITA	until 10/01/2013
2012-2013	A1	Icos Crema Volley	12	PARIS SARA	Libero	1985	165	ITA	until 10/01/2013
2012-2013	A1	Imoco Volley Conegliano	2	AGOSTINETTO GIULIA	Setter	1987	179	ITA	
2012-2013	A1	Imoco Volley Conegliano	5	MARUOTTI ILARIA	Spiker	1994	183	ITA	
2012-2013	A1	Imoco Volley Conegliano	6	FIORIN VALENTINA	Spiker	1984	187	ITA	
2012-2013	A1	Imoco Volley Conegliano	7	DAMINATO CARLOTTA	Libero	1993	160	ITA	
2012-2013	A1	Imoco Volley Conegliano	8	EFIMIENKO ZUZANNA	Middleblocker	1989	195	POL	until 03/03/2013
2012-2013	A1	Imoco Volley Conegliano	9	CAMERA LETIZIA	Setter	1992	175	ITA	
2012-2013	A1	Imoco Volley Conegliano	10	ZANOTTO CARLOTTA	Spiker	1993	181	ITA	
2012-2013	A1	Imoco Volley Conegliano	12	ROSSETTO CARLA	Libero	1984	168	ITA	
2012-2013	A1	Imoco Volley Conegliano	13	CALLONI RAFFAELLA	Middleblocker	1983	187	ITA	
2012-2013	A1	Imoco Volley Conegliano	14	NIKOLOVA EMILIYA	Spiker	1991	185	BUL	
2012-2013	A1	Imoco Volley Conegliano	15	CROZZOLIN ALESSANDRA	Middleblocker	1977	186	ITA	
2012-2013	A1	Imoco Volley Conegliano	16	BARCELLINI CRISTINA	Spiker	1986	183	ITA	
2012-2013	A1	Imoco Volley Conegliano	18	BARAZZA JENNY	Middleblocker	1981	188	ITA	from 29/01/2013
2012-2013	A1	Kgs Robursport Pesaro	1	MORENO PINO KENNY	Spiker	1979	185	COL	from 13/10/2012
2012-2013	A1	Kgs Robursport Pesaro	1	ORTOLANI SERENA	Spiker	1987	187	ITA	until 10/10/2012
2012-2013	A1	Kgs Robursport Pesaro	3	VALPIANI BEATRICE	Setter	1986	174	ITA	
2012-2013	A1	Kgs Robursport Pesaro	5	GIBBEMEYER LAUREN	Middleblocker	1988	188	USA	
2012-2013	A1	Kgs Robursport Pesaro	7	DE GENNARO MONICA	Libero	1987	173	ITA	
2012-2013	A1	Kgs Robursport Pesaro	8	LESTINI MONICA	Spiker	1994	183	ITA	from 19/10/2012
2012-2013	A1	Kgs Robursport Pesaro	9	MANZANO ELISA	Middleblocker	1985	187	ITA	
2012-2013	A1	Kgs Robursport Pesaro	10	CHIRICHELLA CRISTINA	Middleblocker	1994	195	ITA	
2012-2013	A1	Kgs Robursport Pesaro	12	DEKANY BERNADETT	Spiker	1992	187	HUN	
2012-2013	A1	Kgs Robursport Pesaro	13	SIGNORILE NOEMI	Setter	1990	183	ITA	
2012-2013	A1	Kgs Robursport Pesaro	16	TIROZZI VALENTINA	Spiker	1986	182	ITA	
2012-2013	A1	Kgs Robursport Pesaro	17	MURESAN DAIANA GIORGIANA	Spiker	1990	191	ROM	
2012-2013	A1	Mc Carnaghi Villa Cortese	1	MALAGURSKI SANJA	Spiker	1990	193	SRB	
2012-2013	A1	Mc Carnaghi Villa Cortese	2	VIGAN? NATALIA	Spiker	1979	180	ITA	
2012-2013	A1	Mc Carnaghi Villa Cortese	3	MOJICA VILMARIE	Setter	1985	177	PUR	
2012-2013	A1	Mc Carnaghi Villa Cortese	4	NOMIKOU MARIA	Spiker	1993	190	GRE	
2012-2013	A1	Mc Carnaghi Villa Cortese	5	KLINEMAN ALEXANDRA ROSE	Spiker	1989	195	USA	
2012-2013	A1	Mc Carnaghi Villa Cortese	7	FOLIE RAPHAELA	Middleblocker	1991	186	ITA	
2012-2013	A1	Mc Carnaghi Villa Cortese	8	PERINELLI ELENA	Spiker	1995	181	ITA	
2012-2013	A1	Mc Carnaghi Villa Cortese	9	VELJKOVIC STEFANA	Middleblocker	1990	190	SRB	
2012-2013	A1	Mc Carnaghi Villa Cortese	10	CARDULLO PAOLA	Libero	1982	162	ITA	
2012-2013	A1	Mc Carnaghi Villa Cortese	11	PARIS SARA	Libero	1985	165	ITA	from 05/02/2013
2012-2013	A1	Mc Carnaghi Villa Cortese	11	PUERARI RAMONA	Libero	1983	170	ITA	until 04/10/2012
2012-2013	A1	Mc Carnaghi Villa Cortese	12	GARZARO ILARIA	Middleblocker	1986	189	ITA	
2012-2013	A1	Mc Carnaghi Villa Cortese	13	BARUN-SUSNJAR KATARINA	Spiker	1983	194	CRO	
2012-2013	A1	Mc Carnaghi Villa Cortese	14	BOSETTI CATERINA	Spiker	1994	180	ITA	
2012-2013	A1	Mc Carnaghi Villa Cortese	15	PARROCCHIALE BEATRICE	Libero	1995	167	ITA	
2012-2013	A1	Mc Carnaghi Villa Cortese	17	RONDON GIULIA	Setter	1987	190	ITA	
2012-2013	A1	Mc Carnaghi Villa Cortese	18	SYLLA MIRIAM	Spiker	1995	181	ITA	
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	1	FRIGO LAURA	Middleblocker	1990	185	ITA	until 14/01/2013
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	2	VALERIANO FEDERICA	Spiker	1985	179	ITA	from 27/01/2013
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	3	GENNARI ALESSIA	Spiker	1991	184	ITA	until 14/01/2013
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	4	LEGGERI MANUELA	Middleblocker	1976	186	ITA	
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	6	TURLEA CARMEN	Spiker	1975	185	ROM	
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	7	MEIJNERS FLOORTJE	Spiker	1987	192	NED	
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	8	SECOLO MANUELA	Spiker	1977	181	ITA	
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	9	NICOLINI LAURA	Middleblocker	1979	187	ITA	
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	10	FERRETTI FRANCESCA	Setter	1984	180	ITA	
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	11	SANSONNA STEFANIA	Libero	1982	175	ITA	
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	12	GUIGGI MARTINA	Middleblocker	1984	188	ITA	from 15/01/2013
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	14	RADENKOVIC DANICA	Setter	1992	185	SRB	
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	16	BOSETTI LUCIA	Spiker	1989	175	ITA	
2012-2013	A1	Rebecchi Nordmeccanica Piacenza	17	ZILIO ISABELLA	Libero	1983	174	ITA	
2012-2013	A1	Unendo Yamamay Busto Arsizio	1	FAUCETTE JOHNSON JULIANN	Spiker	1989	188	USA	
2012-2013	A1	Unendo Yamamay Busto Arsizio	2	GRBAC ANA	Setter	1988	187	CRO	from 25/03/2013
2012-2013	A1	Unendo Yamamay Busto Arsizio	3	LLOYD CARLI	Setter	1989	178	USA	
2012-2013	A1	Unendo Yamamay Busto Arsizio	4	BRINKER MAREN	Spiker	1986	184	GER	
2012-2013	A1	Unendo Yamamay Busto Arsizio	6	LEONARDI GIULIA	Libero	1987	165	ITA	
2012-2013	A1	Unendo Yamamay Busto Arsizio	7	MARCON FRANCESCA	Spiker	1983	180	ITA	
2012-2013	A1	Unendo Yamamay Busto Arsizio	8	BAUER CHRISTINA	Middleblocker	1988	196	FRA	
2012-2013	A1	Unendo Yamamay Busto Arsizio	10	KOZUCH MARGARETA ANNA	Spiker	1986	186	GER	
2012-2013	A1	Unendo Yamamay Busto Arsizio	11	LOMBARDO GILDA	Spiker	1989	180	ITA	
2012-2013	A1	Unendo Yamamay Busto Arsizio	13	ARRIGHETTI VALENTINA	Middleblocker	1985	189	ITA	
2012-2013	A1	Unendo Yamamay Busto Arsizio	14	CARACUTA VALERIA	Setter	1987	173	ITA	
2012-2013	A1	Unendo Yamamay Busto Arsizio	17	PISANI GIULIA	Middleblocker	1992	184	ITA	
2012-2013	A1	Unendo Yamamay Busto Arsizio	18	BISCONTI VERONICA	Libero	1991	172	ITA	
2012-2013	A1	Volley 2002 Forl? Bologna	1	VENTURA ALESSANDRA	Spiker	1983	183	ITA	from 09/01/2013
2012-2013	A1	Volley 2002 Forl? Bologna	2	STUFI FEDERICA	Middleblocker	1988	185	ITA	
2012-2013	A1	Volley 2002 Forl? Bologna	3	SEVERI FRANCESCA	Libero	1991	166	ITA	
2012-2013	A1	Volley 2002 Forl? Bologna	4	LAVORENTI FRANCESCA	Setter	1993	180	ITA	
2012-2013	A1	Volley 2002 Forl? Bologna	5	CORIANI SARA	Libero	1995	165	ITA	from 09/01/2013
2012-2013	A1	Volley 2002 Forl? Bologna	5	NATALI RACHELE	Spiker	1994	177	ITA	until 25/10/2012
2012-2013	A1	Volley 2002 Forl? Bologna	6	BRUSSA NATALIA GUADALUPE	Spiker	1985	188	ITA	from 05/02/2013
2012-2013	A1	Volley 2002 Forl? Bologna	6	VECE SERENA	Spiker	1994	175	ITA	until 09/01/2013
2012-2013	A1	Volley 2002 Forl? Bologna	7	ARIMATTEI SOFIA	Spiker	1981	186	ITA	
2012-2013	A1	Volley 2002 Forl? Bologna	8	CARRARO GIULIA	Setter	1994	175	ITA	from 09/01/2013
2012-2013	A1	Volley 2002 Forl? Bologna	9	LIPICER SAMEC TINA	Spiker	1979	183	SLO	from 17/01/2013
2012-2013	A1	Volley 2002 Forl? Bologna	9	FILIPOVICS ANITA	Middleblocker	1988	192	HUN	until 24/09/2012
2012-2013	A1	Volley 2002 Forl? Bologna	10	ALFONSI LUCREZIA	Middleblocker	1994	184	ITA	until 09/01/2013
2012-2013	A1	Volley 2002 Forl? Bologna	11	PETRUCCI ALESSANDRA	Setter	1983	185	ITA	
2012-2013	A1	Volley 2002 Forl? Bologna	12	MILOS PROKOPIC IVANA	Middleblocker	1986	187	CRO	from 08/10/2012
2012-2013	A1	Volley 2002 Forl? Bologna	13	KORUKOVETS ALEXANDRA	Spiker	1976	183	RUS	
2012-2013	A1	Volley 2002 Forl? Bologna	14	CVETANOVIC MARINA	Spiker	1986	188	SLO	
2012-2013	A1	Volley 2002 Forl? Bologna	15	GINANNESCHI DANIELA	Spiker	1978	174	ITA	
2012-2013	A1	Volley 2002 Forl? Bologna	16	MINERVINI SIMONA	Libero	1994	170	ITA	
2012-2013	A1	Volley 2002 Forl? Bologna	18	LAPI CHIARA	Middleblocker	1991	182	ITA	from 14/10/2012
2012-2013	A1	Volley 2002 Forl? Bologna	18	MALVESTITO SERENA	Middleblocker	1988	185	ITA	until 28/09/2012
2013-2014	A1	Banca Di Forl?	1	VENTURA ALESSANDRA	Spiker	1983	183	ITA	
2013-2014	A1	Banca Di Forl?	2	PETROVIKJ MARIJA	Spiker	1987	192	MKD	
2013-2014	A1	Banca Di Forl?	3	ROANI MANUELA	Spiker	1983	186	ITA	
2013-2014	A1	Banca Di Forl?	4	GUATELLI ALESSANDRA	Spiker	1983	178	ITA	until 20/01/2014 TRASFERITA A METALLEGHE SANITARS MONTICHIARI
2013-2014	A1	Banca Di Forl?	5	SPELMAN HAYLEY	Spiker	1991	202	USA	from 15/02/2014
2013-2014	A1	Banca Di Forl?	5	PAGGI PAOLA	Middleblocker	1976	182	ITA	until 16/01/2014 TRASFERITA A LIU JO MODENA
2013-2014	A1	Banca Di Forl?	6	TURLEA CARMEN	Spiker	1975	185	ROM	until 11/01/2014
2013-2014	A1	Banca Di Forl?	7	PIOLANTI ALICE	Middleblocker	1987	187	ITA	
2013-2014	A1	Banca Di Forl?	8	CORIANI SARA	Libero	1995	165	ITA	
2013-2014	A1	Banca Di Forl?	9	PINCERATO GIULIA	Setter	1987	182	ITA	
2013-2014	A1	Banca Di Forl?	10	ZARDO CAROLINA	Libero	1992	168	ITA	
2013-2014	A1	Banca Di Forl?	11	LAMPRINIDOU MARIA	Middleblocker	1986	188	GRE	
2013-2014	A1	Banca Di Forl?	12	BORGOGNO CHIARA	Middleblocker	1984	192	ITA	from 08/01/2014
2013-2014	A1	Banca Di Forl?	13	BEZAREVIC MILICA	Spiker	1991	182	SRB	
2013-2014	A1	Banca Di Forl?	14	ARRECHEA MONTANO DIANA SHIRLEY	Spiker	1994	178	COL	
2013-2014	A1	Banca Di Forl?	15	PINEDO GEORGINA SOLEDAD	Spiker	1981	179	ARG	from 21/01/2014
2013-2014	A1	Banca Di Forl?	16	ROSSO MARGHERITA	Setter	1995	183	ITA	
2013-2014	A1	Foppapedretti Bergamo	1	KLISURA SARA	Spiker	1992	188	SRB	
2013-2014	A1	Foppapedretti Bergamo	2	STUFI FEDERICA	Middleblocker	1988	185	ITA	
2013-2014	A1	Foppapedretti Bergamo	3	BRUNO ELEONORA	Libero	1994	180	ITA	
