Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,7,Stankovic Dragan,-,-,-,3,1,-,*,-,1,-,-6,8,2,-,1,-,1.00 ,-,3,-,1,1,0.33 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,10,Garello Nicolò,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,11,Gollini Riccardo,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,15,De Cecco Luciano,-,-,-,4,2,1 ,2,-,1,-,-1,14,-,-,-,-,-,-,-,-,-,-,-,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,17,Anzani Simone,-,-,-,-,*,6 ,1,-,5,2,3,8,-,-,-,-,-,-,3,-,-,2,0.67 ,-,3,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,19,Buchegger Paul,-,-,-,1,5,4 ,5,-,16,3,3,21,7,1,1,-,1.00 ,1.00 ,30,4,1,15,0.50 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,22,Gutierrez Josè Miguel,-,-,-,2,6,5 ,*,-,6,2,2,9,2,-,22,-,0.41 ,0.32 ,14,1,1,4,0.29 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,24,Ikhbayri Ahmed,-,-,-,-,-,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,77,Federici Filippo,L,-,-,*,*,*,*,-,-,-,-2,-,-,-,24,2,0.42 ,0.33 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,2,29/9/2024,16:00,2362 ,€ 23270 ,O,Valsa Group Modena,Modena,90,Rinaldi Tommaso,-,-,-,5,3,2 ,3,-,21,8,7,14,3,2,22,4,0.41 ,0.18 ,27,2,-,17,0.63 ,-,2,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,C,Cucine Lube Civitanova,Lube,1,Chinenyeze Barthelemy,-,-,-,5,5,*,5,-,6,1,1,6,2,-,-,-,-,-,11,1,-,6,0.55 ,-,-,,,,
