Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,2,-,12,6/10/2024,17:00,3478 ,€ 43995 ,O,Sir Susa Vim Perugia,Perugia,3,2,6,8,15,16,19,21,25,23,8,6,16,14,20,21,23,25,8,5,15,16,19,21,21,25,8,5,16,12,21,20,26,24,5,2,0,0,0,0,15,10,75,31,-1,109,26,6,85,5,0.47 ,0.26 ,126,14,10,58,0.46 ,-,11,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,3,-,13,13/10/2024,16:00,3585 ,€ 22407 ,C,Cucine Lube Civitanova,Lube,3,0,6,8,16,13,21,16,25,20,7,8,15,16,19,21,25,22,4,8,15,16,21,20,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,20,9,74,16,4,50,2,0.56 ,0.16 ,78,6,4,40,0.51 ,-,7,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,3,-,13,13/10/2024,16:00,3585 ,€ 22407 ,O,Mint Vero Volley Monza,Monza,0,3,8,6,13,16,16,21,20,25,8,7,16,15,21,19,22,25,8,4,16,15,20,21,22,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,9,-9,64,14,2,58,8,0.40 ,0.19 ,71,8,7,32,0.45 ,-,4,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,3,-,14,13/10/2024,19:00,3377 ,€ 35288 ,C,Allianz Milano,Milano,1,3,8,6,16,13,21,19,29,31,8,6,14,16,19,21,27,29,8,7,16,15,21,18,25,22,5,8,8,16,13,21,18,25,-,-,-,-,-,-,-,-,60,23,-7,101,20,4,81,7,0.49 ,0.25 ,134,12,12,50,0.37 ,-,6,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,3,-,14,13/10/2024,19:00,3377 ,€ 35288 ,O,Itas Trentino,Trento,3,1,6,8,13,16,19,21,31,29,6,8,16,14,21,19,29,27,7,8,15,16,18,21,22,25,8,5,16,8,21,13,25,18,-,-,-,-,-,-,-,-,74,26,2,106,25,5,81,4,0.43 ,0.19 ,125,12,6,57,0.46 ,-,12,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,3,-,15,12/10/2024,18:00,4151 ,€ 66630 ,C,Valsa Group Modena,Modena,0,3,8,7,15,16,20,21,23,25,6,8,13,16,17,21,19,25,8,6,16,15,19,21,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,11,-14,64,13,3,56,6,0.38 ,0.21 ,80,13,9,33,0.41 ,-,1,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,3,-,15,12/10/2024,18:00,4151 ,€ 66630 ,O,Sir Susa Vim Perugia,Perugia,3,0,7,8,16,15,21,20,25,23,8,6,16,13,21,17,25,19,6,8,15,16,21,19,25,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,21,4,74,18,6,51,3,0.53 ,0.31 ,68,5,1,33,0.49 ,-,9,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,3,-,16,13/10/2024,18:00,1690 ,€ 10350 ,C,Cisterna Volley,Cisterna,1,3,7,8,11,16,17,21,22,25,8,4,16,10,21,15,25,19,6,8,12,16,16,21,20,25,8,6,16,15,19,21,23,25,-,-,-,-,-,-,-,-,65,26,4,91,20,4,73,9,0.40 ,0.21 ,106,9,5,48,0.45 ,-,13,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,3,-,16,13/10/2024,18:00,1690 ,€ 10350 ,O,Gas Sales Bluenergy Piacenza,Piacenza,3,1,8,7,16,11,21,17,25,22,4,8,10,16,15,21,19,25,8,6,16,12,21,16,25,20,6,8,15,16,21,19,25,23,-,-,-,-,-,-,-,-,65,23,.,93,20,8,71,4,0.44 ,0.25 ,114,4,13,52,0.46 ,-,5,,,,,,,,,,,
2024/2025,SuperLega,Regular_Season,1st,3,-,17,13/10/2024,17:00,1627 ,€ 12432 ,C,Gioiella Prisma Taranto,Taranto,1,3,8,3,16,8,21,14,25,18,6,8,14,16,21,20,25,27,5,8,13,16,21,18,23,25,6,8,13,16,16,21,18,25,-,-,-,-,-,-,-,-,61,19,-11,92,23,6,77,6,0.36 ,0.17 ,88,5,6,45,0.51 ,-,10,,,,,,,,,,,
