Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2024/2025,A1,Regular_Season,1st,3,-,3018,20/10/2024 ,17:00 ,1508,-,C,Reale Mutua Fenera Chieri '76,-,3,2,8,2,16,8,21,11,25,13,8,3,16,10,21,18,25,23,8,6,16,12,19,21,22,25,4,8,11,16,15,21,17,25,5,3,10,9,12,10,15,12,77,34,25,105,14,7,85,14,59%,20%,134,12,12,55,41%,15,
2024/2025,A1,Regular_Season,1st,3,-,3018,20/10/2024 ,17:00 ,1508,-,O,Il Bisonte Firenze,-,2,3,2,8,8,16,11,21,13,25,3,8,10,16,18,21,23,25,6,8,12,16,21,19,25,22,8,4,16,11,21,15,25,17,3,5,9,10,10,12,12,15,72,32,19,98,13,11,91,10,60%,21%,136,15,15,49,36%,12,
2024/2025,A1,Regular_Season,1st,3,-,3019,20/10/2024 ,17:00 ,2295,-,C,Savino Del Bene Scandicci,-,3,0,8,7,16,11,21,13,25,15,7,8,16,15,21,20,25,21,3,8,16,12,21,14,25,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,30,37,74,10,5,47,2,57%,30%,82,7,2,43,52%,10,
2024/2025,A1,Regular_Season,1st,3,-,3019,20/10/2024 ,17:00 ,2295,-,O,Bartoccini-Mc Restauri Perugia,-,0,3,7,8,11,16,13,21,15,25,8,7,15,16,20,21,21,25,8,3,12,16,14,21,15,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,10,-1,52,5,2,64,7,41%,20%,79,9,10,28,35%,1,
2024/2025,A1,Regular_Season,1st,3,-,3021,20/10/2024 ,17:30 ,168,884,C,Bergamo,-,1,3,8,6,16,14,19,21,25,27,8,4,16,10,21,17,25,20,8,6,16,13,21,19,23,25,4,8,12,16,15,21,18,25,-,-,-,-,-,-,-,-,68,29,14,92,15,4,87,19,40%,22%,144,10,10,55,38%,9,
2024/2025,A1,Regular_Season,1st,3,-,3021,20/10/2024 ,17:30 ,168,884,O,Cda Volley Talmassons Fvg,-,3,1,6,8,14,16,21,19,27,25,4,8,10,16,17,21,20,25,6,8,13,16,19,21,25,23,8,4,16,12,21,15,25,18,-,-,-,-,-,-,-,-,67,33,32,96,9,10,77,6,34%,26%,140,11,9,47,34%,10,
2024/2025,A1,Regular_Season,1st,3,-,3020,20/10/2024 ,18:00 ,678,-,C,Megabox Ond. Savio Vallefoglia,-,3,0,8,6,16,9,21,13,25,21,8,7,16,14,21,15,25,18,8,5,16,8,21,10,25,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,25,28,71,7,4,42,4,74%,55%,79,5,5,38,48%,7,
2024/2025,A1,Regular_Season,1st,3,-,3020,20/10/2024 ,18:00 ,678,-,O,Eurotek Uyba Busto Arsizio,-,0,3,6,8,9,16,13,21,21,25,7,8,14,16,15,21,18,25,5,8,8,16,10,21,15,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,12,3,55,13,3,64,5,56%,39%,81,12,7,32,40%,5,
2024/2025,A1,Regular_Season,1st,4,-,3022,26/10/2024 ,18:00 ,860,-,C,Il Bisonte Firenze,-,3,0,8,5,16,12,21,17,25,23,6,8,16,14,21,15,25,17,4,8,16,12,21,16,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,24,33,72,6,5,58,8,62%,29%,89,4,7,44,49%,9,
2024/2025,A1,Regular_Season,1st,4,-,3022,26/10/2024 ,18:00 ,860,-,O,Wash4green Pinerolo,-,0,3,5,8,12,16,17,21,23,25,8,6,14,16,15,21,17,25,8,4,12,16,16,21,22,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,18,22,63,5,4,66,8,59%,30%,97,7,9,40,41%,7,
2024/2025,A1,Regular_Season,1st,4,-,3024,26/10/2024 ,18:30 ,25,-,C,Igor Gorgonzola Novara,-,3,0,8,6,14,16,21,20,25,21,8,7,16,13,21,17,25,18,8,6,16,9,21,13,25,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,30,40,74,9,4,55,6,60%,35%,109,8,3,54,50%,8,
2024/2025,A1,Regular_Season,1st,4,-,3024,26/10/2024 ,18:30 ,25,-,O,Smi Roma Volley,-,0,3,6,8,16,14,20,21,21,25,7,8,13,16,17,21,18,25,6,8,9,16,13,21,17,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,13,14,57,2,5,65,6,49%,29%,105,7,8,29,28%,3,
2024/2025,A1,Regular_Season,1st,4,-,3026,26/10/2024 ,20:30 ,11,-,C,Bartoccini-Mc Restauri Perugia,-,2,3,7,8,11,16,16,21,18,25,8,5,16,14,21,17,25,22,3,8,6,16,12,21,14,25,8,7,14,16,19,21,32,30,2,5,4,10,5,12,9,15,66,21,23,98,8,5,102,11,43%,26%,146,10,14,52,36%,9,
2024/2025,A1,Regular_Season,1st,4,-,3026,26/10/2024 ,20:30 ,11,-,O,Reale Mutua Fenera Chieri '76,-,3,2,8,7,16,11,21,16,25,18,5,8,14,16,17,21,22,25,8,3,16,6,21,12,25,14,7,8,16,14,21,19,30,32,5,2,10,4,12,5,15,9,92,42,46,116,14,6,90,9,54%,44%,158,13,9,72,46%,14,
2024/2025,A1,Regular_Season,1st,4,-,3023,27/10/2024 ,17:00 ,5103,-,C,Prosecco Doc Imoco Conegliano,-,3,0,8,2,16,5,21,11,25,13,8,4,16,10,21,14,25,17,7,8,15,16,21,19,25,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,27,32,74,7,8,49,7,49%,22%,95,5,3,35,37%,11,
2024/2025,A1,Regular_Season,1st,4,-,3023,27/10/2024 ,17:00 ,5103,-,O,Bergamo,-,0,3,2,8,5,16,11,21,13,25,4,8,10,16,14,21,17,25,8,7,16,15,19,21,23,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,17,-1,54,5,1,67,12,52%,25%,121,14,11,37,31%,3,
2024/2025,A1,Regular_Season,1st,4,-,3027,27/10/2024 ,17:00 ,2011,-,C,Eurotek Uyba Busto Arsizio,-,3,1,7,8,16,14,21,16,25,22,6,8,14,16,20,21,23,25,6,8,16,14,21,19,25,20,8,5,15,16,21,19,25,20,-,-,-,-,-,-,-,-,70,32,29,96,9,6,75,6,65%,40%,137,15,11,60,44%,4,
2024/2025,A1,Regular_Season,1st,4,-,3027,27/10/2024 ,17:00 ,2011,-,O,Savino Del Bene Scandicci,-,1,3,8,7,14,16,16,21,22,25,8,6,16,14,21,20,25,23,8,6,14,16,19,21,20,25,5,8,16,15,19,21,20,25,-,-,-,-,-,-,-,-,60,26,22,88,13,4,87,9,57%,31%,118,12,4,45,38%,11,
