Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Honda Olivero Cuneo,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Igor Gorgonzola Novara,-,, ,,,,
A1,2024/25,Il Bisonte Firenze,-,, ,,,,
A1,2024/25,Il Bisonte Firenze,-,, ,,,,
A1,2024/25,Il Bisonte Firenze,-,, ,,,,
A1,2024/25,Il Bisonte Firenze,-,, ,,,,
A1,2024/25,Il Bisonte Firenze,-,, ,,,,
A1,2024/25,Il Bisonte Firenze,-,, ,,,,
A1,2024/25,Il Bisonte Firenze,-,, ,,,,
A1,2024/25,Il Bisonte Firenze,-,, ,,,,
A1,2024/25,Il Bisonte Firenze,-,, ,,,,
A1,2024/25,Il Bisonte Firenze,-,, ,,,,
A1,2024/25,Il Bisonte Firenze,-,, ,,,,
A1,2024/25,Il Bisonte Firenze,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Megabox Ond. Savio Vallefoglia,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Numia Vero Volley Milano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Prosecco Doc Imoco Conegliano,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '76,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '77,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '78,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '79,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '80,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '81,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '82,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '83,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '84,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '85,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '86,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '87,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '88,-,, ,,,,
A1,2024/25,Reale Mutua Fenera Chieri '89,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Savino Del Bene Scandicci,-,, ,,,,
A1,2024/25,Smi Roma Volley,-,, ,,,,
A1,2024/25,Smi Roma Volley,-,, ,,,,
A1,2024/25,Smi Roma Volley,-,, ,,,,
A1,2024/25,Smi Roma Volley,-,, ,,,,
A1,2024/25,Smi Roma Volley,-,, ,,,,
A1,2024/25,Smi Roma Volley,-,, ,,,,
A1,2024/25,Smi Roma Volley,-,, ,,,,
A1,2024/25,Smi Roma Volley,-,, ,,,,
A1,2024/25,Smi Roma Volley,-,, ,,,,
A1,2024/25,Smi Roma Volley,-,, ,,,,
A1,2024/25,Smi Roma Volley,-,, ,,,,
A1,2024/25,Smi Roma Volley,-,, ,,,,
A1,2024/25,Smi Roma Volley,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A1,2024/25,Wash4green Pinerolo,-,, ,,,,
A2,2024/25,Akademia Sant'Anna Messina,-,, ,,,,
A2,2024/25,Akademia Sant'Anna Messina,-,, ,,,,
A2,2024/25,Akademia Sant'Anna Messina,-,, ,,,,
A2,2024/25,Akademia Sant'Anna Messina,-,, ,,,,
A2,2024/25,Akademia Sant'Anna Messina,-,, ,,,,
A2,2024/25,Akademia Sant'Anna Messina,-,, ,,,,
A2,2024/25,Akademia Sant'Anna Messina,-,, ,,,,
A2,2024/25,Akademia Sant'Anna Messina,-,, ,,,,
A2,2024/25,Akademia Sant'Anna Messina,-,, ,,,,
A2,2024/25,Akademia Sant'Anna Messina,-,, ,,,,
A2,2024/25,Akademia Sant'Anna Messina,-,, ,,,,
A2,2024/25,Akademia Sant'Anna Messina,-,, ,,,,
A2,2024/25,Akademia Sant'Anna Messina,-,, ,,,,
A2,2024/25,Bam Mondovì,-,, ,,,,
A2,2024/25,Bam Mondovì,-,, ,,,,
A2,2024/25,Bam Mondovì,-,, ,,,,
A2,2024/25,Bam Mondovì,-,, ,,,,
A2,2024/25,Bam Mondovì,-,, ,,,,
A2,2024/25,Bam Mondovì,-,, ,,,,
A2,2024/25,Bam Mondovì,-,, ,,,,
A2,2024/25,Bam Mondovì,-,, ,,,,
A2,2024/25,Bam Mondovì,-,, ,,,,
A2,2024/25,Bam Mondovì,-,, ,,,,
A2,2024/25,Bam Mondovì,-,, ,,,,
A2,2024/25,Bam Mondovì,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,C.B.L. Costa Volpino,-,, ,,,,
A2,2024/25,Cbf Balducci Hr Macerata,-,, ,,,,
A2,2024/25,Cbf Balducci Hr Macerata,-,, ,,,,
A2,2024/25,Cbf Balducci Hr Macerata,-,, ,,,,
A2,2024/25,Cbf Balducci Hr Macerata,-,, ,,,,
A2,2024/25,Cbf Balducci Hr Macerata,-,, ,,,,
A2,2024/25,Cbf Balducci Hr Macerata,-,, ,,,,
A2,2024/25,Cbf Balducci Hr Macerata,-,, ,,,,
A2,2024/25,Cbf Balducci Hr Macerata,-,, ,,,,
A2,2024/25,Cbf Balducci Hr Macerata,-,, ,,,,
A2,2024/25,Cbf Balducci Hr Macerata,-,, ,,,,
A2,2024/25,Cbf Balducci Hr Macerata,-,, ,,,,
A2,2024/25,Cbf Balducci Hr Macerata,-,, ,,,,
A2,2024/25,Cbf Balducci Hr Macerata,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Clai Imola Volley,-,, ,,,,
A2,2024/25,Fgl-Zuma Castelfranco Pisa,-,, ,,,,
A2,2024/25,Fgl-Zuma Castelfranco Pisa,-,, ,,,,
A2,2024/25,Fgl-Zuma Castelfranco Pisa,-,, ,,,,
A2,2024/25,Fgl-Zuma Castelfranco Pisa,-,, ,,,,
A2,2024/25,Fgl-Zuma Castelfranco Pisa,-,, ,,,,
A2,2024/25,Fgl-Zuma Castelfranco Pisa,-,, ,,,,
A2,2024/25,Fgl-Zuma Castelfranco Pisa,-,, ,,,,
A2,2024/25,Fgl-Zuma Castelfranco Pisa,-,, ,,,,
A2,2024/25,Fgl-Zuma Castelfranco Pisa,-,, ,,,,
A2,2024/25,Fgl-Zuma Castelfranco Pisa,-,, ,,,,
A2,2024/25,Fgl-Zuma Castelfranco Pisa,-,, ,,,,
A2,2024/25,Fgl-Zuma Castelfranco Pisa,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Omag-Mt San Giovanni In M.No,-,, ,,,,
A2,2024/25,Orocash Picco Lecco,-,, ,,,,
A2,2024/25,Orocash Picco Lecco,-,, ,,,,
A2,2024/25,Orocash Picco Lecco,-,, ,,,,
A2,2024/25,Orocash Picco Lecco,-,, ,,,,
A2,2024/25,Orocash Picco Lecco,-,, ,,,,
A2,2024/25,Orocash Picco Lecco,-,, ,,,,
A2,2024/25,Orocash Picco Lecco,-,, ,,,,
A2,2024/25,Orocash Picco Lecco,-,, ,,,,
A2,2024/25,Orocash Picco Lecco,-,, ,,,,
A2,2024/25,Orocash Picco Lecco,-,, ,,,,
A2,2024/25,Orocash Picco Lecco,-,, ,,,,
A2,2024/25,Orocash Picco Lecco,-,, ,,,,
A2,2024/25,Orocash Picco Lecco,-,, ,,,,
A2,2024/25,Valsabbina Millenium Brescia,-,, ,,,,
A2,2024/25,Valsabbina Millenium Brescia,-,, ,,,,
A2,2024/25,Valsabbina Millenium Brescia,-,, ,,,,
A2,2024/25,Valsabbina Millenium Brescia,-,, ,,,,
A2,2024/25,Valsabbina Millenium Brescia,-,, ,,,,
A2,2024/25,Valsabbina Millenium Brescia,-,, ,,,,
A2,2024/25,Valsabbina Millenium Brescia,-,, ,,,,
A2,2024/25,Valsabbina Millenium Brescia,-,, ,,,,
A2,2024/25,Valsabbina Millenium Brescia,-,, ,,,,
A2,2024/25,Valsabbina Millenium Brescia,-,, ,,,,
A2,2024/25,Valsabbina Millenium Brescia,-,, ,,,,
A2,2024/25,Valsabbina Millenium Brescia,-,, ,,,,
A2,2024/25,Valsabbina Millenium Brescia,-,, ,,,,
A2,2024/25,Volleyball Casalmaggiore,-,, ,,,,
A2,2024/25,Volleyball Casalmaggiore,-,, ,,,,
A2,2024/25,Volleyball Casalmaggiore,-,, ,,,,
A2,2024/25,Volleyball Casalmaggiore,-,, ,,,,
A2,2024/25,Volleyball Casalmaggiore,-,, ,,,,
A2,2024/25,Volleyball Casalmaggiore,-,, ,,,,
A2,2024/25,Volleyball Casalmaggiore,-,, ,,,,
A2,2024/25,Volleyball Casalmaggiore,-,, ,,,,
A2,2024/25,Volleyball Casalmaggiore,-,, ,,,,
A2,2024/25,Volleyball Casalmaggiore,-,, ,,,,
A2,2024/25,Volleyball Casalmaggiore,-,, ,,,,
A2,2024/25,Volleyball Casalmaggiore,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Futura Giovani Busto Arsizio,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Imd Concorezzo,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Itas Trentino,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Narconon Volley Melendugno,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Nuvolì Altafratte Padova,-,, ,,,,
A2,2024/25,Resinglass Olbia,-,, ,,,,
A2,2024/25,Resinglass Olbia,-,, ,,,,
A2,2024/25,Resinglass Olbia,-,, ,,,,
A2,2024/25,Resinglass Olbia,-,, ,,,,
A2,2024/25,Resinglass Olbia,-,, ,,,,
A2,2024/25,Resinglass Olbia,-,, ,,,,
A2,2024/25,Resinglass Olbia,-,, ,,,,
A2,2024/25,Resinglass Olbia,-,, ,,,,
A2,2024/25,Resinglass Olbia,-,, ,,,,
A2,2024/25,Resinglass Olbia,-,, ,,,,
A2,2024/25,Resinglass Olbia,-,, ,,,,
A2,2024/25,Resinglass Olbia,-,, ,,,,
A2,2024/25,Tecnoteam Albese Volley Como,-,, ,,,,
A2,2024/25,Tecnoteam Albese Volley Como,-,, ,,,,
A2,2024/25,Tecnoteam Albese Volley Como,-,, ,,,,
A2,2024/25,Tecnoteam Albese Volley Como,-,, ,,,,
A2,2024/25,Tecnoteam Albese Volley Como,-,, ,,,,
A2,2024/25,Tecnoteam Albese Volley Como,-,, ,,,,
A2,2024/25,Tecnoteam Albese Volley Como,-,, ,,,,
A2,2024/25,Tecnoteam Albese Volley Como,-,, ,,,,
A2,2024/25,Tecnoteam Albese Volley Como,-,, ,,,,
A2,2024/25,Tecnoteam Albese Volley Como,-,, ,,,,
A2,2024/25,Tecnoteam Albese Volley Como,-,, ,,,,
A2,2024/25,Tecnoteam Albese Volley Como,-,, ,,,,
A2,2024/25,Tecnoteam Albese Volley Como,-,, ,,,,
A2,2024/25,Tenaglia Abruzzo Volley,-,, ,,,,
A2,2024/25,Tenaglia Abruzzo Volley,-,, ,,,,
A2,2024/25,Tenaglia Abruzzo Volley,-,, ,,,,
A2,2024/25,Tenaglia Abruzzo Volley,-,, ,,,,
A2,2024/25,Tenaglia Abruzzo Volley,-,, ,,,,
A2,2024/25,Tenaglia Abruzzo Volley,-,, ,,,,
A2,2024/25,Tenaglia Abruzzo Volley,-,, ,,,,
A2,2024/25,Tenaglia Abruzzo Volley,-,, ,,,,
