Season,Division,Championship,Phase,Day,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,
2025/2026,A2,Regular_Season,2nd,6,629,15/2/2026 ,19:00 ,772 ,€ 3.543 ,C,Abba Pineto ,Pineto,3,0,7,8,16,12,21,16,25,20,8,4,16,8,21,13,25,20,7,8,13,16,21,19,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,15,9,74,9,2,50,2,0.56,0.46,81,6,5,47,0.58,-,4,,,,,
2025/2026,A2,Regular_Season,2nd,6,629,15/2/2026 ,19:00 ,772 ,€ 3.543 ,O,Virtus Aversa ,Aversa,0,3,8,7,12,16,16,21,20,25,4,8,8,16,13,21,20,25,8,7,16,13,19,21,22,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,6,6,63,13,1,65,2,0.58,0.38,82,9,4,40,0.49,-,5,,,,,
2025/2026,A2,Regular_Season,2nd,6,630,15/2/2026 ,18:00 ,490 ,€ 2.365 ,C,Romeo Sorrento ,Massa Lubrense,1,3,8,5,16,14,21,18,25,19,5,8,12,16,15,21,19,25,6,8,15,16,21,20,24,26,6,8,12,16,18,21,19,25,-,-,-,-,-,-,-,-,58,18,13,88,11,3,74,8,0.42,0.09,104,11,10,50,0.48,-,5,,,,,
2025/2026,A2,Regular_Season,2nd,6,630,15/2/2026 ,18:00 ,490 ,€ 2.365 ,O,Emma Villas Codyeco Lupi Siena ,Siena,3,1,5,8,14,16,18,21,19,25,8,5,16,12,21,15,25,19,8,6,16,15,20,21,26,24,8,6,16,12,21,18,25,19,-,-,-,-,-,-,-,-,68,20,32,94,20,8,77,3,0.45,0.05,95,7,5,50,0.53,-,10,,,,,
2025/2026,A2,Regular_Season,2nd,6,631,15/2/2026 ,17:00 ,974 ,€ 824 ,C,Gruppo Consoli Sferc Brescia ,Brescia Atlantide,3,1,8,7,16,12,21,15,25,17,7,8,15,16,19,21,23,25,8,5,16,9,21,13,25,14,6,8,16,14,21,17,25,20,-,-,-,-,-,-,-,-,70,28,18,97,18,9,61,3,0.51,0.21,103,7,8,56,0.54,-,5,,,,,
2025/2026,A2,Regular_Season,2nd,6,631,15/2/2026 ,17:00 ,974 ,€ 824 ,O,Sviluppo Sud Catania ,Acicastello,1,3,7,8,12,16,15,21,17,25,8,7,16,15,21,19,25,23,5,8,9,16,13,21,14,25,8,6,14,16,17,21,20,25,-,-,-,-,-,-,-,-,48,13,-7,77,16,2,79,11,0.29,0.11,80,9,5,38,0.48,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,6,632,15/2/2026 ,17:30 ,704 ,€ 4.284 ,C,Tinet Prata di Pordenone ,Prata,3,0,8,3,16,12,21,15,25,18,8,7,16,9,21,14,25,18,8,3,16,7,21,9,25,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,28,19,73,14,7,36,4,0.53,0.22,69,2,6,40,0.58,-,5,,,,,
2025/2026,A2,Regular_Season,2nd,6,632,15/2/2026 ,17:30 ,704 ,€ 4.284 ,O,Essence Hotels Fano ,Fano,0,3,3,8,12,16,15,21,18,25,7,8,9,16,14,21,18,25,3,8,7,16,9,21,10,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,9,-20,48,12,4,59,7,0.46,0.22,72,10,5,20,0.28,-,6,,,,,
2025/2026,A2,Regular_Season,2nd,6,633,14/2/2026 ,20:30 ,473 ,€ 1.567 ,C,Alva Inox 2 Emme Service Porto Viro ,Porto Viro,3,1,6,8,14,16,18,21,22,25,8,6,16,14,21,17,25,19,7,8,16,12,21,15,25,17,8,2,16,9,21,15,25,18,-,-,-,-,-,-,-,-,70,24,42,96,10,3,68,6,0.6,0.37,95,6,4,57,0.6,-,10,,,,,
2025/2026,A2,Regular_Season,2nd,6,633,14/2/2026 ,20:30 ,473 ,€ 1.567 ,O,Banca Macerata Fisiomed MC ,Macerata,1,3,8,6,16,14,21,18,25,22,6,8,14,16,17,21,19,25,8,7,12,16,15,21,17,25,2,8,9,16,15,21,18,25,-,-,-,-,-,-,-,-,62,15,24,80,12,6,86,3,0.55,0.36,104,11,10,52,0.5,-,4,,,,,
2025/2026,A2,Regular_Season,2nd,7,634,1/3/2026 ,17:00 ,445 ,€ 793 ,C,Emma Villas Codyeco Lupi Siena ,Siena,2,3,6,8,16,13,20,21,25,23,8,7,15,16,21,20,25,21,2,8,9,16,21,20,22,25,8,6,10,16,17,21,21,25,2,5,0,0,0,0,11,15,77,28,-3,104,21,5,92,5,0.59,0.24,130,10,16,64,0.49,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,7,634,1/3/2026 ,17:00 ,445 ,€ 793 ,O,Prisma La Cascina Taranto ,Taranto,3,2,8,6,13,16,21,20,23,25,7,8,16,15,20,21,21,25,8,2,16,9,20,21,25,22,6,8,16,10,21,17,25,21,5,2,0,0,0,0,15,11,78,32,13,109,17,5,83,6,0.52,0.19,124,7,8,57,0.46,-,16,,,,,
2025/2026,A2,Regular_Season,2nd,7,635,1/3/2026 ,18:00 ,413 ,€ 488 ,C,Banca Macerata Fisiomed MC ,Macerata,0,3,5,8,10,16,14,21,20,25,8,6,15,16,19,21,21,25,6,8,15,16,21,20,28,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,15,-4,71,20,4,62,8,0.48,0.19,77,8,3,37,0.48,-,7,,,,,
2025/2026,A2,Regular_Season,2nd,7,635,1/3/2026 ,18:00 ,413 ,€ 488 ,O,Gruppo Consoli Sferc Brescia ,Brescia Atlantide,3,0,8,5,16,10,21,14,25,20,6,8,16,15,21,19,25,21,8,6,16,15,20,21,30,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,22,7,78,16,8,51,6,0.51,0.27,73,5,7,41,0.56,-,3,,,,,
2025/2026,A2,Regular_Season,2nd,7,636,28/2/2026 ,20:00 ,750 ,€ 4.910 ,C,Tinet Prata di Pordenone ,Prata,3,2,6,8,15,16,19,21,23,25,5,8,16,15,21,19,25,22,2,8,6,16,9,21,12,25,5,8,14,16,18,21,25,22,5,4,0,0,0,0,15,8,70,24,15,100,17,9,83,11,0.49,0.31,101,9,6,52,0.51,-,9,,,,,
2025/2026,A2,Regular_Season,2nd,7,636,28/2/2026 ,20:00 ,750 ,€ 4.910 ,O,Abba Pineto ,Pineto,2,3,8,6,16,15,21,19,25,23,8,5,15,16,19,21,22,25,8,2,16,6,21,9,25,12,8,5,16,14,21,18,22,25,4,5,0,0,0,0,8,15,74,27,21,102,19,11,83,9,0.34,0.18,114,7,9,57,0.5,-,6,,,,,
2025/2026,A2,Regular_Season,2nd,7,637,1/3/2026 ,18:00 ,462 ,€ 810 ,C,Virtus Aversa ,Aversa,3,0,7,8,16,12,21,15,25,18,8,5,16,13,19,21,28,26,8,7,16,14,21,17,25,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,20,25,77,11,5,56,4,0.55,0.18,86,8,8,43,0.5,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,7,637,1/3/2026 ,18:00 ,462 ,€ 810 ,O,Alva Inox 2 Emme Service Porto Viro ,Porto Viro,0,3,8,7,12,16,15,21,18,25,5,8,13,16,21,19,26,28,7,8,14,16,17,21,23,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,16,14,68,12,4,66,5,0.38,0.09,85,9,8,36,0.42,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,7,638,1/3/2026 ,16:00 ,527 ,€ 3.847 ,C,Essence Hotels Fano ,Fano,3,0,8,4,16,9,21,13,25,15,8,7,16,15,21,17,25,17,6,8,12,16,21,19,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,26,18,74,14,4,42,3,0.55,0.17,58,3,1,37,0.64,-,14,,,,,
2025/2026,A2,Regular_Season,2nd,7,638,1/3/2026 ,16:00 ,527 ,€ 3.847 ,O,Campi Reali Cantù ,Cantù,0,3,4,8,9,16,13,21,15,25,7,8,15,16,17,21,17,25,8,6,16,12,19,21,22,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,9,-17,55,13,3,60,6,0.43,0.23,75,6,14,33,0.44,-,1,,,,,
2025/2026,A2,Regular_Season,2nd,7,639,1/3/2026 ,16:00 ,1.085 ,€ 5.302 ,C,Consar Ravenna ,Ravenna,3,0,8,5,16,11,21,14,25,17,7,8,16,15,20,21,25,23,8,4,16,12,21,17,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,21,7,73,13,6,50,2,0.52,0.22,77,5,2,43,0.56,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,7,639,1/3/2026 ,16:00 ,1.085 ,€ 5.302 ,O,Romeo Sorrento ,Massa Lubrense,0,3,5,8,11,16,14,21,17,25,8,7,15,16,21,20,23,25,4,8,12,16,17,21,22,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,11,-5,64,14,1,60,6,0.43,0.28,83,3,8,41,0.49,-,2,,,,,
2025/2026,A2,Regular_Season,2nd,7,640,1/3/2026 ,18:00 ,236 ,€ 406 ,C,Sviluppo Sud Catania ,Acicastello,3,1,8,4,16,10,21,14,25,20,8,4,16,9,21,11,25,15,5,8,10,16,14,21,16,25,8,7,16,8,21,13,25,16,-,-,-,-,-,-,-,-,61,26,26,90,17,6,59,4,0.78,0.42,103,7,6,48,0.47,-,7,,,,,
2025/2026,A2,Regular_Season,2nd,7,640,1/3/2026 ,18:00 ,236 ,€ 406 ,O,Rinascita Lagonegro ,Lagonegro,1,3,4,8,10,16,14,21,20,25,4,8,9,16,11,21,15,25,8,5,16,10,21,14,25,16,7,8,8,16,13,21,16,25,-,-,-,-,-,-,-,-,50,17,6,77,18,4,73,9,0.56,0.3,98,9,7,40,0.41,-,6,,,,,
2025/2026,A2,Regular_Season,2nd,8,641,4/3/2026 ,20:30 ,480 ,€ 1.569 ,C,Alva Inox 2 Emme Service Porto Viro ,Porto Viro,3,0,6,8,15,16,21,19,30,28,8,4,16,9,21,12,25,15,6,8,16,9,21,13,25,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,27,36,78,12,3,51,6,0.69,0.37,90,4,3,51,0.57,-,7,,,,,
2025/2026,A2,Regular_Season,2nd,8,641,4/3/2026 ,20:30 ,480 ,€ 1.569 ,O,Tinet Prata di Pordenone ,Prata,0,3,8,6,16,15,19,21,28,30,4,8,9,16,12,21,15,25,8,6,9,16,13,21,17,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,11,10,61,10,6,66,10,0.73,0.35,85,7,7,35,0.41,-,3,,,,,
2025/2026,A2,Regular_Season,2nd,8,642,4/3/2026 ,20:00 ,1.106 ,€ 758 ,C,Gruppo Consoli Sferc Brescia ,Brescia Atlantide,3,1,8,7,15,16,21,17,25,23,8,5,16,13,21,16,25,21,3,8,9,16,16,21,17,25,8,4,16,11,21,16,25,20,-,-,-,-,-,-,-,-,65,27,2,91,18,11,72,4,0.51,0.28,109,11,12,48,0.44,-,6,,,,,
2025/2026,A2,Regular_Season,2nd,8,642,4/3/2026 ,20:00 ,1.106 ,€ 758 ,O,Consar Ravenna ,Ravenna,1,3,7,8,16,15,17,21,23,25,5,8,13,16,16,21,21,25,8,3,16,9,21,16,25,17,4,8,11,16,16,21,20,25,-,-,-,-,-,-,-,-,60,23,-7,90,18,4,73,12,0.32,0.11,95,8,6,44,0.46,-,12,,,,,
2025/2026,A2,Regular_Season,2nd,8,643,4/3/2026 ,20:30 ,524 ,€ 2.495 ,C,Romeo Sorrento ,Massa Lubrense,3,1,8,3,16,10,21,15,25,20,8,6,16,15,21,18,25,21,6,8,14,16,16,21,19,25,8,6,16,11,21,17,25,23,-,-,-,-,-,-,-,-,64,22,3,94,21,5,71,9,0.51,0.3,100,5,6,52,0.52,-,7,,,,,
2025/2026,A2,Regular_Season,2nd,8,643,4/3/2026 ,20:30 ,524 ,€ 2.495 ,O,Virtus Aversa ,Aversa,1,3,3,8,10,16,15,21,20,25,6,8,15,16,18,21,21,25,8,6,16,14,21,16,25,19,6,8,11,16,17,21,23,25,-,-,-,-,-,-,-,-,60,19,-,89,18,8,73,6,0.64,0.34,95,9,7,46,0.48,-,6,,,,,
2025/2026,A2,Regular_Season,2nd,8,644,4/3/2026 ,19:30 ,678 ,€ 2.291 ,C,Abba Pineto ,Pineto,3,0,8,3,16,10,21,17,25,20,8,7,16,12,21,15,25,20,8,6,16,14,21,16,25,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,21,20,73,13,6,47,1,0.55,0.36,75,6,2,40,0.53,-,7,,,,,
2025/2026,A2,Regular_Season,2nd,8,644,4/3/2026 ,19:30 ,678 ,€ 2.291 ,O,Essence Hotels Fano ,Fano,0,3,3,8,10,16,17,21,20,25,7,8,12,16,15,21,20,25,6,8,14,16,16,21,18,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,9,-13,60,13,1,60,8,0.4,0.28,76,9,7,34,0.45,-,2,,,,,
2025/2026,A2,Regular_Season,2nd,8,645,4/3/2026 ,20:00 ,446 ,€ 577 ,C,Emma Villas Codyeco Lupi Siena ,Siena,1,3,8,6,13,16,21,19,25,22,7,8,11,16,19,21,21,25,6,8,15,16,19,21,21,25,8,6,12,16,16,21,20,25,-,-,-,-,-,-,-,-,68,26,23,88,13,6,80,6,0.51,0.24,119,7,13,54,0.45,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,8,645,4/3/2026 ,20:00 ,446 ,€ 577 ,O,Banca Macerata Fisiomed MC ,Macerata,3,1,6,8,16,13,19,21,22,25,8,7,16,11,21,19,25,21,8,6,16,15,21,19,25,21,6,8,16,12,21,16,25,20,-,-,-,-,-,-,-,-,76,31,40,96,16,6,75,6,0.4,0.21,115,1,8,57,0.5,-,13,,,,,
2025/2026,A2,Regular_Season,2nd,8,646,4/3/2026 ,20:30 ,204 ,€ 246 ,C,Sviluppo Sud Catania ,Acicastello,2,3,8,6,16,15,18,21,23,25,8,5,16,10,21,15,25,18,7,8,14,16,16,21,19,25,8,5,16,11,21,19,25,20,4,5,0,0,0,0,10,15,74,23,6,102,21,5,89,5,0.6,0.3,124,5,11,60,0.48,-,9,,,,,
2025/2026,A2,Regular_Season,2nd,8,646,4/3/2026 ,20:30 ,204 ,€ 246 ,O,Campi Reali Cantù ,Cantù,3,2,6,8,15,16,21,18,25,23,5,8,10,16,15,21,18,25,8,7,16,14,21,16,25,19,5,8,11,16,19,21,20,25,5,4,0,0,0,0,15,10,77,33,18,103,14,5,81,5,0.49,0.23,125,12,9,61,0.49,-,11,,,,,
2025/2026,A2,Regular_Season,2nd,8,647,4/3/2026 ,20:30 ,706 ,€ 2.981 ,C,Prisma La Cascina Taranto ,Taranto,3,0,8,6,16,12,20,21,25,23,4,8,13,16,19,21,33,31,8,7,16,13,21,19,27,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,20,22,83,13,2,69,2,0.59,0.39,108,5,6,54,0.5,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,8,647,4/3/2026 ,20:30 ,706 ,€ 2.981 ,O,Rinascita Lagonegro ,Lagonegro,0,3,6,8,12,16,21,20,23,25,8,4,16,13,21,19,31,33,7,8,13,16,19,21,25,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,18,13,80,11,2,70,2,0.5,0.33,106,8,8,52,0.49,-,6,,,,,
2025/2026,A2,Regular_Season,2nd,9,648,8/3/2026 ,18:00 ,392 ,€ 503 ,C,Banca Macerata Fisiomed MC ,Macerata,3,0,8,5,16,9,21,11,25,12,8,4,16,13,21,16,25,21,8,6,16,10,21,12,25,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,27,24,74,11,8,39,2,0.56,0.21,75,4,4,32,0.43,-,15,,,,,
2025/2026,A2,Regular_Season,2nd,9,648,8/3/2026 ,18:00 ,392 ,€ 503 ,O,Prisma La Cascina Taranto ,Taranto,0,3,5,8,9,16,11,21,12,25,4,8,13,16,16,21,21,25,6,8,10,16,12,21,14,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,6,-20,48,9,2,63,9,0.54,0.33,82,7,15,24,0.29,-,4,,,,,
2025/2026,A2,Regular_Season,2nd,9,649,8/3/2026 ,15:30 ,398 ,€ 481 ,C,Virtus Aversa ,Aversa,0,3,8,7,15,16,21,20,24,26,4,8,10,16,16,21,17,25,8,4,16,10,21,20,24,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,17,1,66,13,4,64,7,0.52,0.28,78,8,8,32,0.41,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,9,649,8/3/2026 ,15:30 ,398 ,€ 481 ,O,Gruppo Consoli Sferc Brescia ,Brescia Atlantide,3,0,7,8,16,15,20,21,26,24,8,4,16,10,21,16,25,17,4,8,10,16,20,21,26,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,22,16,76,12,7,53,4,0.57,0.26,91,9,8,39,0.43,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,9,650,8/3/2026 ,18:00 ,1.024 ,€ 4.531 ,C,Consar Ravenna ,Ravenna,3,1,8,6,16,13,21,18,25,20,8,2,16,11,21,14,25,16,7,8,13,16,16,21,20,25,8,7,16,14,21,20,26,24,-,-,-,-,-,-,-,-,65,25,7,95,21,6,66,5,0.61,0.15,91,9,9,51,0.56,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,9,650,8/3/2026 ,18:00 ,1.024 ,€ 4.531 ,O,Emma Villas Codyeco Lupi Siena ,Siena,1,3,6,8,13,16,18,21,20,25,2,8,11,16,14,21,16,25,8,7,16,13,21,16,25,20,7,8,14,16,20,21,24,26,-,-,-,-,-,-,-,-,55,20,-10,86,20,5,74,9,0.43,0.2,85,9,8,41,0.48,-,9,,,,,
2025/2026,A2,Regular_Season,2nd,9,651,8/3/2026 ,17:30 ,726 ,€ 4.351 ,C,Tinet Prata di Pordenone ,Prata,1,3,7,8,16,15,21,18,25,22,6,8,13,16,17,21,18,25,2,8,9,16,14,21,21,25,8,4,16,14,21,19,24,26,-,-,-,-,-,-,-,-,68,26,4,89,13,2,83,6,0.52,0.34,130,14,9,55,0.42,-,11,,,,,
2025/2026,A2,Regular_Season,2nd,9,651,8/3/2026 ,17:30 ,726 ,€ 4.351 ,O,Sviluppo Sud Catania ,Acicastello,3,1,8,7,15,16,18,21,22,25,8,6,16,13,21,17,25,18,8,2,16,9,21,14,25,21,4,8,14,16,19,21,26,24,-,-,-,-,-,-,-,-,65,26,9,97,14,5,76,2,0.45,0.26,118,4,11,51,0.43,-,9,,,,,
2025/2026,A2,Regular_Season,2nd,9,652,8/3/2026 ,18:00 ,664 ,€ 2.047 ,C,Rinascita Lagonegro ,Lagonegro,2,3,8,4,16,15,21,20,28,26,8,7,16,14,21,19,25,23,7,8,11,16,18,21,22,25,8,6,16,13,21,17,24,26,2,5,0,0,0,0,9,15,74,22,-,108,20,2,92,3,0.58,0.37,123,14,5,60,0.49,-,12,,,,,
2025/2026,A2,Regular_Season,2nd,9,652,8/3/2026 ,18:00 ,664 ,€ 2.047 ,O,Abba Pineto ,Pineto,3,2,4,8,15,16,20,21,26,28,7,8,14,16,19,21,23,25,8,7,16,11,21,18,25,22,6,8,13,16,17,21,26,24,5,2,0,0,0,0,15,9,79,22,12,114,22,3,88,3,0.6,0.4,128,10,12,71,0.55,-,5,,,,,
2025/2026,A2,Regular_Season,2nd,9,653,8/3/2026 ,16:00 ,537 ,€ 3.650 ,C,Essence Hotels Fano ,Fano,0,3,4,8,9,16,14,21,19,25,8,7,12,16,14,21,17,25,8,6,12,16,16,21,20,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,11,5,58,8,4,65,2,0.62,0.4,91,5,15,42,0.46,-,2,,,,,
2025/2026,A2,Regular_Season,2nd,9,653,8/3/2026 ,16:00 ,537 ,€ 3.650 ,O,Alva Inox 2 Emme Service Porto Viro ,Porto Viro,3,0,8,4,16,9,21,14,25,19,7,8,16,12,21,14,25,17,6,8,16,12,21,16,25,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,24,31,73,8,2,50,5,0.5,0.24,69,2,2,44,0.64,-,15,,,,,
2025/2026,A2,Regular_Season,2nd,9,654,8/3/2026 ,17:30 ,330 ,€ 640 ,C,Campi Reali Cantù ,Cantù,1,3,5,8,11,16,18,21,21,25,6,8,12,16,17,21,21,25,8,6,16,13,21,18,25,23,6,8,13,16,17,21,22,25,-,-,-,-,-,-,-,-,63,14,-6,90,18,4,82,3,0.55,0.28,103,9,8,53,0.51,-,6,,,,,
2025/2026,A2,Regular_Season,2nd,9,654,8/3/2026 ,17:30 ,330 ,€ 640 ,O,Romeo Sorrento ,Massa Lubrense,3,1,8,5,16,11,21,18,25,21,8,6,16,12,21,17,25,21,6,8,13,16,18,21,23,25,8,6,16,13,21,17,25,22,-,-,-,-,-,-,-,-,69,19,17,97,15,1,72,6,0.54,0.33,105,6,6,60,0.57,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,10,655,15/3/2026 ,17:30 ,1.224 ,€ 1.941 ,C,Gruppo Consoli Sferc Brescia ,Brescia Atlantide,3,2,6,8,14,16,21,19,24,26,8,6,16,10,21,17,25,21,8,7,14,16,18,21,22,25,8,2,16,5,21,8,25,10,5,4,0,0,0,0,15,13,83,35,27,110,29,13,78,9,0.41,0.23,116,4,7,62,0.53,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,10,655,15/3/2026 ,17:30 ,1.224 ,€ 1.941 ,O,Tinet Prata di Pordenone ,Prata,2,3,8,6,16,14,19,21,26,24,6,8,10,16,17,21,21,25,7,8,16,14,21,18,25,22,2,8,5,16,8,21,10,25,4,5,0,0,0,0,13,15,61,24,-12,95,17,9,81,14,0.33,0.17,98,8,8,45,0.46,-,7,,,,,
2025/2026,A2,Regular_Season,2nd,10,656,15/3/2026 ,18:00 ,285 ,€ 454 ,C,Sviluppo Sud Catania ,Acicastello,1,3,7,8,16,15,21,20,27,25,5,8,9,16,14,21,16,25,7,8,12,16,15,21,17,25,5,8,11,16,16,21,16,25,-,-,-,-,-,-,-,-,57,15,-2,77,13,3,88,8,0.52,0.26,116,9,10,46,0.4,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,10,656,15/3/2026 ,18:00 ,285 ,€ 454 ,O,Consar Ravenna ,Ravenna,3,1,8,7,15,16,20,21,25,27,8,5,16,9,21,14,25,16,8,7,16,12,21,15,25,17,8,5,16,11,21,16,25,16,-,-,-,-,-,-,-,-,73,35,26,99,11,5,64,3,0.58,0.23,116,5,8,58,0.5,-,10,,,,,
2025/2026,A2,Regular_Season,2nd,10,657,15/3/2026 ,18:00 ,408 ,€ 593 ,C,Banca Macerata Fisiomed MC ,Macerata,2,3,4,8,13,16,18,21,30,32,8,7,16,12,21,16,25,16,8,5,16,12,21,17,25,23,3,8,13,16,17,21,22,25,3,5,0,0,0,0,12,15,83,28,33,115,26,6,90,4,0.47,0.04,124,12,7,64,0.52,-,13,,,,,
2025/2026,A2,Regular_Season,2nd,10,657,15/3/2026 ,18:00 ,408 ,€ 593 ,O,Virtus Aversa ,Aversa,3,2,8,4,16,13,21,18,32,30,7,8,12,16,16,21,16,25,5,8,12,16,17,21,23,25,8,3,16,13,21,17,25,22,5,3,0,0,0,0,15,12,70,21,21,110,20,4,89,6,0.52,0.03,127,9,13,59,0.46,-,7,,,,,
2025/2026,A2,Regular_Season,2nd,10,658,15/3/2026 ,18:00 ,499 ,€ 2.185 ,C,Romeo Sorrento ,Massa Lubrense,1,3,6,8,15,16,19,21,22,25,7,8,14,16,20,21,23,25,7,8,15,16,17,21,25,23,8,6,15,16,18,21,22,25,-,-,-,-,-,-,-,-,72,21,21,93,16,6,84,3,0.43,0.21,129,8,10,60,0.47,-,6,,,,,
2025/2026,A2,Regular_Season,2nd,10,658,15/3/2026 ,18:00 ,499 ,€ 2.185 ,O,Essence Hotels Fano ,Fano,3,1,8,6,16,15,21,19,25,22,8,7,16,14,21,20,25,23,8,7,16,15,21,17,23,25,6,8,16,15,21,18,25,22,-,-,-,-,-,-,-,-,72,22,19,97,13,3,77,6,0.36,0.08,112,6,6,59,0.53,-,10,,,,,
2025/2026,A2,Regular_Season,2nd,10,659,14/3/2026 ,17:00 ,507 ,€ 2.208 ,C,Prisma La Cascina Taranto ,Taranto,3,2,8,7,16,11,21,13,25,14,8,6,16,13,21,17,25,20,5,8,16,13,20,21,26,28,5,8,9,16,15,21,20,25,5,4,0,0,0,0,15,11,84,31,42,111,10,6,83,4,0.69,0.43,134,8,12,67,0.5,-,11,,,,,
2025/2026,A2,Regular_Season,2nd,10,659,14/3/2026 ,17:00 ,507 ,€ 2.208 ,O,Alva Inox 2 Emme Service Porto Viro ,Porto Viro,2,3,7,8,11,16,13,21,14,25,6,8,13,16,17,21,20,25,8,5,13,16,21,20,28,26,8,5,16,9,21,15,25,20,4,5,0,0,0,0,11,15,76,21,29,98,15,3,101,7,0.47,0.24,137,8,11,61,0.45,-,12,,,,,
2025/2026,A2,Regular_Season,2nd,10,660,14/3/2026 ,20:00 ,738 ,€ 3.041 ,C,Abba Pineto ,Pineto,3,0,7,8,16,15,21,16,25,18,7,8,16,13,21,14,25,17,8,2,16,9,21,16,25,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,22,35,73,8,7,41,-,0.56,0.32,73,3,5,38,0.52,-,8,,,,,
2025/2026,A2,Regular_Season,2nd,10,660,14/3/2026 ,20:00 ,738 ,€ 3.041 ,O,Campi Reali Cantù ,Cantù,0,3,8,7,15,16,16,21,18,25,8,7,13,16,14,21,17,25,2,8,9,16,16,21,17,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,6,2,54,13,-,65,7,0.37,0.2,82,8,8,34,0.41,-,5,,,,,
2025/2026,A2,Regular_Season,2nd,10,661,15/3/2026 ,17:00 ,463 ,€ 752 ,C,Emma Villas Codyeco Lupi Siena ,Siena,0,3,5,8,11,16,15,21,16,25,8,5,13,16,19,21,23,25,8,7,11,16,16,21,17,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,13,-1,58,15,4,65,3,0.6,0.43,80,3,14,37,0.46,-,4,,,,,
