Season,Division,Championship,Phase,Day,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,
2025/2026,SuperLega,Regular_Season,1st,2,11,25/10/2025 ,18:00 ,1.799 ,€ 12.918 ,O,Rana Verona ,Verona,3,0,8,5,16,12,21,20,25,21,8,6,16,10,21,15,25,17,8,4,16,12,21,18,25,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,28,11,73,19,11,46,4,0.39,0.24,57,4,3,37,0.65,-,9,,,,Gas Sales Bluenergy Piacenza ,Piacenza
2025/2026,SuperLega,Regular_Season,1st,2,12,26/10/2025 ,18:00 ,3.411 ,€ 34.286 ,C,MA Acqua S.Bernardo Cuneo ,Cuneo,3,0,8,5,16,13,21,15,25,19,8,5,16,10,21,13,25,18,7,8,16,14,21,16,25,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,22,14,74,14,6,38,5,0.47,0.34,59,6,2,36,0.61,-,7,,,,Green Volley Galatone ,Galatone
2025/2026,SuperLega,Regular_Season,1st,2,12,26/10/2025 ,18:00 ,3.411 ,€ 34.286 ,O,Cisterna Volley ,Cisterna,0,3,5,8,13,16,15,21,19,25,5,8,10,16,13,21,18,25,8,7,14,16,16,21,19,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,8,-12,57,19,4,60,7,0.55,0.25,75,6,7,30,0.4,-,2,,,,Gruppo Consoli Sferc Brescia ,Brescia Atlantide
2025/2026,SuperLega,Regular_Season,1st,3,13,29/10/2025 ,20:30 ,3.484 ,€ 22.302 ,C,Sir Susa Scai Perugia ,Perugia,3,0,8,5,16,8,21,10,25,15,8,7,16,13,21,15,25,16,8,6,16,12,21,19,25,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,26,22,73,11,11,38,-,0.5,0.21,60,3,5,36,0.6,-,7,,,,Itas Trentino ,Trento 
2025/2026,SuperLega,Regular_Season,1st,3,13,29/10/2025 ,20:30 ,3.484 ,€ 22.302 ,O,Sonepar Padova ,Padova,0,3,5,8,8,16,10,21,15,25,7,8,13,16,15,21,16,25,6,8,12,16,19,21,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,6,-15,54,16,-,62,12,0.37,0.21,68,4,7,32,0.47,-,5,,,,JV Gioia Del Colle ,Gioia Del Colle 
2025/2026,SuperLega,Regular_Season,1st,3,14,29/10/2025 ,20:30 ,3.289 ,€ 36.431 ,C,Cucine Lube Civitanova ,Lube,3,1,8,4,16,11,21,18,25,23,7,8,16,14,21,18,25,23,7,8,15,16,20,21,22,25,8,7,15,16,20,21,25,22,-,-,-,-,-,-,-,-,71,22,7,96,26,8,78,9,0.45,0.26,108,7,4,57,0.53,-,6,,,,MA Acqua S.Bernardo Cuneo ,Cuneo
2025/2026,SuperLega,Regular_Season,1st,3,14,29/10/2025 ,20:30 ,3.289 ,€ 36.431 ,O,Itas Trentino ,Trento ,1,3,4,8,11,16,18,21,23,25,8,7,14,16,18,21,23,25,8,7,16,15,21,20,25,22,7,8,16,15,21,20,22,25,-,-,-,-,-,-,-,-,60,20,-6,94,16,7,70,8,0.3,0.14,95,8,6,49,0.52,-,4,,,,Monge Gerbaudo Savigliano ,Savigliano 
2025/2026,SuperLega,Regular_Season,1st,3,15,30/10/2025 ,20:30 ,3.374 ,€ 17.171 ,C,Rana Verona ,Verona,3,0,4,8,13,16,21,20,25,22,8,6,15,16,19,21,25,22,8,3,16,10,21,15,25,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,20,9,74,25,5,53,2,0.53,0.17,72,4,7,44,0.61,-,8,,,,Negrini CTE Acqui Terme ,Acqui Terme
2025/2026,SuperLega,Regular_Season,1st,3,15,30/10/2025 ,20:30 ,3.374 ,€ 17.171 ,O,Allianz Milano ,Milano,0,3,8,4,16,13,20,21,22,25,6,8,16,15,21,19,22,25,3,8,10,16,15,21,20,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,12,-11,65,12,2,49,6,0.39,0.18,59,4,8,26,0.44,-,7,,,,Personal Time San Donà di Piave ,San Donà di Piave
2025/2026,SuperLega,Regular_Season,1st,3,16,29/10/2025 ,20:30 ,1.900 ,€ 12.537 ,C,Gas Sales Bluenergy Piacenza ,Piacenza,1,3,8,5,15,16,21,20,23,25,4,8,10,16,15,21,17,25,6,8,14,16,19,21,25,23,4,8,13,16,20,21,23,25,-,-,-,-,-,-,-,-,59,23,-18,89,22,7,78,9,0.27,0.08,107,8,12,45,0.42,-,7,,,,Prisma La Cascina Taranto ,Taranto
