Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,
2025/2026,A1,Regular_Season,2nd,5,-,3120,4/1/2026 ,16:00 ,1.012 ,-,O,Eurotek Laica Uyba,Uyba Busto Arsizio,4,Metwally Mariam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3120,4/1/2026 ,16:00 ,1.012 ,-,O,Eurotek Laica Uyba,Uyba Busto Arsizio,5,Seki Nanami,-,-,-,1,2,1,-,-,2,1,1,14,1,-,-,-,-,-,2 ,-,-,2,1.00 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3120,4/1/2026 ,16:00 ,1.012 ,-,O,Eurotek Laica Uyba,Uyba Busto Arsizio,6,Van Avermaet Silke,-,C,-,6,1,6,-,-,6,1,2,13,2,-,1,-,1.00 ,-,11 ,-,2,4,0.36 ,-,2 ,
2025/2026,A1,Regular_Season,2nd,5,-,3120,4/1/2026 ,16:00 ,1.012 ,-,O,Eurotek Laica Uyba,Uyba Busto Arsizio,7,Diouf Valentina,-,-,-,*,*,*,-,-,1,-,1,-,-,-,-,-,-,-,2 ,-,-,1,0.50 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3120,4/1/2026 ,16:00 ,1.012 ,-,O,Eurotek Laica Uyba,Uyba Busto Arsizio,8,Schmit Dana,-,-,-,*,*,*,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3120,4/1/2026 ,16:00 ,1.012 ,-,O,Eurotek Laica Uyba,Uyba Busto Arsizio,10,Parlangeli Francesca,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3120,4/1/2026 ,16:00 ,1.012 ,-,O,Eurotek Laica Uyba,Uyba Busto Arsizio,11,Obossa Josephine,-,-,-,4,5,4,-,-,14,4,6,10,2,-,-,-,-,-,32 ,4 ,2,12,0.38 ,-,2 ,
2025/2026,A1,Regular_Season,2nd,5,-,3120,4/1/2026 ,16:00 ,1.012 ,-,O,Eurotek Laica Uyba,Uyba Busto Arsizio,17,Eckl Katja,-,-,-,-,*,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3120,4/1/2026 ,16:00 ,1.012 ,-,O,Eurotek Laica Uyba,Uyba Busto Arsizio,18,Torcolacci Alice,-,-,-,3,4,3,-,-,5,2,3,10,1,-,-,-,-,-,9 ,1 ,-,5,0.56 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3120,4/1/2026 ,16:00 ,1.012 ,-,O,Eurotek Laica Uyba,Uyba Busto Arsizio,23,Parra Melanie,-,-,-,2,3,2,-,-,12,6,7,16,1,1,18,1,0.44 ,0.11 ,25 ,2 ,1,8,0.32 ,-,3 ,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,1,Bridi Ulrike,-,-,-,-,-,*,*,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,2,Dodson Anna,-,-,-,5,5,2,5,-,9,5,3,8,3,-,1,-,1.00 ,1.00 ,14 ,2 ,1,7,0.50 ,-,2 ,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,3,Malual Adhuoljok John Majak,-,-,-,-,3,6,3,-,14,5,9,8,1,-,-,-,-,-,30 ,3 ,1,14,0.47 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,5,Siftar Mija,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,1 ,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,6,D'Odorico Sofia,-,-,-,1,1,4,1,-,14,6,4,15,1,1,30,3,0.47 ,0.37 ,30 ,4 ,2,11,0.37 ,-,2 ,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,7,Sylves Amandha,-,-,-,2,2,5,2,-,8,2,5,11,2,-,-,-,-,-,14 ,1 ,-,7,0.50 ,-,1 ,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,8,Bussoli Silvia,-,C,-,*,*,*,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,9,Battistoni Ilaria,-,-,-,6,6,3,6,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,10,Moro Ilenia,L,-,-,*,*,*,*,-,-,-,-2,-,-,-,25,2,0.80 ,0.28 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,12,Harbin Danielle,-,-,-,3,-,-,-,-,1,-,-3,7,1,-,-,-,-,-,6 ,2 ,1,1,0.17 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,15,Scialanca Rebecca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,16,Rapello Elena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,18,Akrari Yasmina,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,C,Wash4green Monviso Volley,Pallavolo Pinerolo,21,Davyskiba Anna,-,-,-,4,4,1,4,-,22,7,11,16,4,1,30,4,0.47 ,0.17 ,48 ,-,3,20,0.42 ,-,1 ,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,1,Acciarri Nausica,-,-,-,2,2,2,2,-,12,8,9,14,2,3,4,-,0.75 ,0.25 ,11 ,1 ,-,6,0.55 ,-,3 ,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,4,Morello Rachele,-,-,-,-,*,3,3,-,2,-,2,14,-,-,-,-,-,-,2 ,-,-,1,0.50 ,-,1 ,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,5,Valoppi Sofia,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,14,1,0.57 ,0.29 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,6,Bertolino Bianca,-,-,-,*,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,7,Zuccarelli Agata,-,-,-,-,*,-,-,-,-,-,-1,-,-,-,-,-,-,-,1 ,-,1,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,8,Colzi Alessandra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,9,Villani Francesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,10,Knollema Jolien,-,-,-,4,4,4,4,-,31,16,26,14,1,2,25,2,0.48 ,0.16 ,46 ,1 ,1,28,0.61 ,-,1 ,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,12,Malesevic Ana,-,-,-,5,5,5,5,-,4,3,2,17,1,-,2,-,1.00 ,-,5 ,-,1,2,0.40 ,-,2 ,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,13,Bukilic Vanja,-,-,-,6,6,6,6,-,10,4,3,12,3,-,-,-,-,-,39 ,2 ,2,10,0.26 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,14,Tanase Alice,-,-,-,1,1,1,1,-,11,3,4,17,1,-,27,2,0.63 ,0.33 ,31 ,3 ,1,10,0.32 ,-,1 ,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,15,Kacmaz Begum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,17,Lapini Bianca,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3121,4/1/2026 ,17:00 ,980 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,19,Agrifoglio Beatrice,-,C,-,3,3,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2228,1,Carraro Roberta,-,-,-,*,*,*,*,*,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2229,2,Eze Chidera Blessing,-,-,-,2,3,2,3,3,3,2,-2,15,3,2,-,-,-,-,4 ,1 ,1,1,0.25 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2230,3,Bolzonetti Alessia,-,-,-,*,*,3,*,4,13,5,10,14,1,-,15,1,0.53 ,0.07 ,21 ,1 ,-,11,0.52 ,-,2 ,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2231,5,Kipp Kendall,-,-,-,5,6,5,6,6,17,6,10,9,2,1,1,-,-,-,38 ,2 ,3,16,0.42 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2232,6,Ferrario Federica,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2233,7,Mosser Jennifer,-,-,-,3,4,-,4,-,4,2,-1,6,2,-,14,3,0.36 ,0.14 ,8 ,-,-,4,0.50 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2234,8,Strubbe Monique,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2235,9,Micheletti Aurora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2236,10,Armini Martina,L,-,-,*,*,*,*,*,-,-,-,-,-,-,32,-,0.75 ,0.41 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2237,13,Weske Emilia,-,-,-,*,*,*,*,*,7,3,4,4,1,-,-,-,-,-,13 ,1 ,1,6,0.46 ,-,1 ,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2238,15,Manfredini Linda,-,-,-,1,2,1,2,2,8,2,1,24,6,2,-,-,-,-,17 ,1 ,-,5,0.29 ,-,1 ,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2239,16,Mlejnkova Michaela,-,C,-,6,1,6,1,1,16,5,10,11,-,-,28,1,0.68 ,0.36 ,43 ,1 ,4,14,0.33 ,-,2 ,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2240,17,Meli Denise,-,-,-,4,5,4,5,5,8,3,4,17,3,-,1,-,-,-,13 ,1 ,-,6,0.46 ,-,2 ,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,C,Bergamo,Volley Bergamo 2241,26,Cese Montalvo Ailama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,1,Antunovic Karla,-,-,-,-,*,*,*,-,-,-,-1,3,1,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,2,Degradi Alice,-,-,-,*,-,*,*,-,6,2,-,3,2,-,9,1,0.22 ,-,19 ,2 ,1,6,0.32 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,4,Kunzler Laura,-,-,-,5,6,1,1,1,19,8,12,21,1,4,40,4,0.48 ,0.30 ,33 ,1 ,1,13,0.39 ,-,2 ,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,5,Spirito Ilaria,-,C,-,*,*,*,*,*,-,-,-1,-,-,-,12,1,0.67 ,0.42 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,7,Ferrarini Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,8,Bonafede Carola,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,9,Alberti Sara,-,-,-,-,-,*,-,-,2,1,2,3,-,-,1,-,1.00 ,1.00 ,1 ,-,-,1,1.00 ,-,1 ,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,10,Van Aalen Sarah,-,-,-,4,5,6,6,6,2,-,2,19,-,-,-,-,-,-,3 ,-,-,2,0.67 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,11,Nervini Stella,-,-,-,2,3,4,4,4,11,3,-,14,1,-,23,3,0.70 ,0.39 ,30 ,5 ,2,11,0.37 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,12,Bah Halimatou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,13,Németh Anett,-,-,-,1,*,*,3,3,13,6,4,4,3,-,-,-,-,-,23 ,4 ,2,13,0.57 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,14,Cekulaev Anastasia,-,-,-,3,4,5,5,5,9,1,7,16,2,-,1,-,-,-,10 ,-,-,8,0.80 ,-,1 ,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,15,Dambrink Elles,-,-,-,*,2,3,*,-,9,5,5,7,2,-,1,-,-,-,21 ,-,2,9,0.43 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3122,4/1/2026 ,17:00 ,3.183 ,-,O,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,17,Gray Anna,-,-,-,6,1,2,2,2,7,6,5,15,2,1,1,-,1.00 ,1.00 ,5 ,-,-,1,0.20 ,-,5 ,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,2,Traballi Gaia,-,-,-,-,-,*,-,-,-,-,-,-,-,-,1,-,1.00 ,1.00 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,3,Bechis Marta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,4,Skinner Avery,-,-,-,2,3,2,-,-,13,7,4,15,3,-,19,2,0.53 ,0.42 ,28 ,-,4,12,0.43 ,-,1 ,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,5,Castillo Brenda,L,-,-,*,*,*,-,-,-,-,-,-,-,-,6,-,1.00 ,0.83 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,6,Ruddins Lindsey Ora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,7,Franklin Sarah,-,-,-,5,6,5,-,-,7,1,-,6,1,-,20,4,0.40 ,0.25 ,16 ,1 ,1,7,0.44 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,8,Ribechi Manuela,L,-,-,-,-,*,-,-,-,-,-1,-,-,-,4,1,0.50 ,0.50 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,9,Bosetti Caterina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,10,Ognjenovic Maja,-,C,-,1,2,1,-,-,2,2,2,24,-,2,-,-,-,-,1 ,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,11,Mancini Giulia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,13,Graziani Emma,-,-,-,6,1,6,-,-,4,1,4,9,-,1,1,-,-,-,2 ,-,-,2,1.00 ,-,1 ,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,14,Nwakalor Linda,-,-,-,3,4,3,-,-,13,10,10,10,3,-,-,-,-,-,9 ,-,-,8,0.89 ,-,5 ,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,17,Antropova Ekaterina,-,-,-,4,5,4,-,-,16,7,10,10,2,1,-,-,-,-,28 ,4 ,-,12,0.43 ,-,3 ,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,21,Weitzel Camilla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,O,Omag-Mt San Giovanni In Marignano,San Giovanni In Marignano,1,Ortolani Serena,-,C,-,1,6,*,-,-,-,-,-2,2,-,-,-,-,-,-,6 ,2 ,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,O,Omag-Mt San Giovanni In Marignano,San Giovanni In Marignano,2,Bracchi Martina,-,-,-,5,4,4,-,-,10,4,-1,6,1,1,23,4,0.61 ,0.43 ,25 ,2 ,4,9,0.36 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,O,Omag-Mt San Giovanni In Marignano,San Giovanni In Marignano,4,Nicolini Cecilia,-,-,-,*,3,6,-,-,1,-,1,7,-,-,-,-,-,-,1 ,-,-,1,1.00 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,O,Omag-Mt San Giovanni In Marignano,San Giovanni In Marignano,5,Zhuang Yushan,-,-,-,2,1,1,-,-,12,3,1,15,1,-,28,5,0.64 ,0.46 ,24 ,3 ,2,12,0.50 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,O,Omag-Mt San Giovanni In Marignano,San Giovanni In Marignano,6,Brancher Edinara,-,-,-,-,*,3,-,-,4,-,1,5,1,-,-,-,-,-,9 ,1 ,1,4,0.44 ,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,O,Omag-Mt San Giovanni In Marignano,San Giovanni In Marignano,8,Piovesan Anna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,O,Omag-Mt San Giovanni In Marignano,San Giovanni In Marignano,9,Parini Sveva,-,-,-,-,-,*,-,-,-,-,-1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,O,Omag-Mt San Giovanni In Marignano,San Giovanni In Marignano,10,Wilson Dalia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,O,Omag-Mt San Giovanni In Marignano,San Giovanni In Marignano,11,Kochurina Elizaveta,-,-,-,3,2,5,-,-,10,4,5,10,2,3,-,-,-,-,8 ,1 ,2,5,0.63 ,-,2 ,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,O,Omag-Mt San Giovanni In Marignano,San Giovanni In Marignano,12,Tellone Agata,L,-,-,*,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,O,Omag-Mt San Giovanni In Marignano,San Giovanni In Marignano,13,Panetoni Sara,L,-,-,-,-,-,-,-,-,-,-2,-,-,-,9,2,0.56 ,0.44 ,-,-,-,-,-,-,-,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,O,Omag-Mt San Giovanni In Marignano,San Giovanni In Marignano,16,Caruso Sara,-,-,-,6,5,2,-,-,3,2,3,6,-,-,-,-,-,-,4 ,-,-,-,-,-,3 ,
2025/2026,A1,Regular_Season,2nd,5,-,3125,4/1/2026 ,17:00 ,1.763 ,-,O,Omag-Mt San Giovanni In Marignano,San Giovanni In Marignano,17,Nardo Alice,-,-,-,*,*,*,-,-,3,2,1,4,1,-,5,-,0.80 ,0.80 ,7 ,-,1,3,0.43 ,-,-,
