Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,2,Cortesia Lorenzo,-,-,-,5,4,4 ,3,-,8,4,1,14,3,3,-,-,-,-,4,-,-,4,1.00 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,3,Valbusa Marco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,4,Gironi Fabrizio,-,-,-,*,*,*,-,-,-,-,-1,1,-,-,-,-,-,-,1,-,1,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,5,Planinsic Uros,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,6,D'Amico Francesco,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,26,1,0.58 ,0.15 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,9,Keita Noumory,-,-,-,4,3,3 ,2,-,24,7,12,16,4,-,18,3,0.33 ,0.17 ,37,1,2,21,0.57 ,-,3,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,10,Sani Francesco,-,-,-,-,*,*,5,-,5,2,-1,5,2,1,7,3,0.14 ,0.14 ,8,-,-,4,0.50 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,11,Christenson Micah,-,-,-,3,2,5 ,4,-,5,3,-,21,1,1,-,-,-,-,2,-,-,1,0.50 ,-,3,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,15,Bonisoli Pietro,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,16,Glatz Lukas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,17,Vitelli Marco,-,-,-,2,1,1 ,6,-,6,2,-3,16,2,1,2,1,0.50 ,-,6,-,-,4,0.67 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,18,Ferreira Souza Darlan,-,-,-,6,5,2 ,1,-,15,4,3,14,4,2,10,1,0.40 ,0.30 ,20,1,2,13,0.65 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,C,Rana Verona ,Verona,19,Mozic Rok,-,-,-,1,6,6 ,*,-,8,1,-1,7,2,-,16,1,0.31 ,0.13 ,16,1,2,8,0.50 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,5,Porro Paolo,-,-,-,1,2,2 ,3,-,4,4,-1,14,1,-,2,-,-,-,1,-,-,1,1.00 ,-,3,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,6,Leon Henri Emmanuel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
