Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,10,Mayu Ishikawa,Schiacciatrice,JPN,174,2000,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,11,Taylor Mims,Opposto,USA,190,1997,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,13,Sara Bonifacio,Centrale,ITA,185,1996,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,14,Giulia Carraro,Palleggiatrice,ITA,175,1994,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,16,Indy Baijens,Centrale,NED,193,2001,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,17,Tatiana Tolok,Opposto,RUS,192,2003,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,18,Veronica Costantini,Centrale,ITA,191,2003,,,
A1,2025/2026,Igor Gorgonzola Novara,Igor Novara,98,Giulia Melli,Schiacciatrice,ITA,185,1998,,,
A1,2025/2026,Il Bisonte Firenze,Azzurra Volley Firenze,1,Nausica Acciarri,Centrale,ITA,186,2004,,,
A1,2025/2026,Il Bisonte Firenze,Azzurra Volley Firenze,4,Rachele Morello,Palleggiatrice,ITA,182,2000,,,
A1,2025/2026,Il Bisonte Firenze,Azzurra Volley Firenze,5,Sofia Valoppi,Libero,ITA,167,2003,,,
A1,2025/2026,Il Bisonte Firenze,Azzurra Volley Firenze,7,Agata Zuccarelli,Opposto,ITA,180,1995,,,
A1,2025/2026,Il Bisonte Firenze,Azzurra Volley Firenze,8,Alessandra Colzi,Centrale,ITA,180,1997,,,
A1,2025/2026,Il Bisonte Firenze,Azzurra Volley Firenze,9,Francesca Villani,Schiacciatrice,ITA,187,1995,,,
A1,2025/2026,Il Bisonte Firenze,Azzurra Volley Firenze,10,Jolien Knollema,Schiacciatrice,NED,189,2003,,,
A1,2025/2026,Il Bisonte Firenze,Azzurra Volley Firenze,12,Ana Malesevic,Centrale,SRB,194,2002,,,
A1,2025/2026,Il Bisonte Firenze,Azzurra Volley Firenze,13,Vanja Bukilic,Opposto,SRB,198,1999,,,
A1,2025/2026,Il Bisonte Firenze,Azzurra Volley Firenze,14,Alice Tanase,Schiacciatrice,ITA,183,2000,,,
A1,2025/2026,Il Bisonte Firenze,Azzurra Volley Firenze,15,Begum Kacmaz,Centrale,TUR,188,2007,,,
