Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,17,Fatim Yassimina Kone,Centrale,ITA,182,2000,,,
A2 GroupB,2025/2026,Tenaglia Abruzzo Altino Volley,Tenaglia Altino Volley,25,Viktoryia Siakretava,Opposto,BLR,185,1997,,,
A2 GroupB,2025/2026,Trasporti Bressan Offanengo,Volley Offanengo,1,Eva Ravazzolo,Centrale,ITA,178,1999,,,
A2 GroupB,2025/2026,Trasporti Bressan Offanengo,Volley Offanengo,2,Angela Coba,Palleggiatrice,ITA,180,2006,,,
A2 GroupB,2025/2026,Trasporti Bressan Offanengo,Volley Offanengo,3,Giada Di Mario,Libero,ITA,180,2004,,,
A2 GroupB,2025/2026,Trasporti Bressan Offanengo,Volley Offanengo,7,Giorgia Compagnin,Palleggiatrice,ITA,180,2005,,,
A2 GroupB,2025/2026,Trasporti Bressan Offanengo,Volley Offanengo,8,Alice Turco,Palleggiatrice,ITA,178,2000,,,
A2 GroupB,2025/2026,Trasporti Bressan Offanengo,Volley Offanengo,9,Margherita Meoni,Opposto,ITA,184,2005,,,
A2 GroupB,2025/2026,Trasporti Bressan Offanengo,Volley Offanengo,10,Sara Bellia,Schiacciatrice,ITA,188,2004,,,
A2 GroupB,2025/2026,Trasporti Bressan Offanengo,Volley Offanengo,11,Silene Martinelli,Centrale,ITA,185,2006,,,
A2 GroupB,2025/2026,Trasporti Bressan Offanengo,Volley Offanengo,12,Giulia Resmini,Schiacciatrice,ITA,178,2005,,,
A2 GroupB,2025/2026,Trasporti Bressan Offanengo,Volley Offanengo,15,Giorgia Tommasini,Libero,ITA,158,2006,,,
A2 GroupB,2025/2026,Trasporti Bressan Offanengo,Volley Offanengo,17,Anna Caneva,Centrale,ITA,187,1992,,,
A2 GroupB,2025/2026,Trasporti Bressan Offanengo,Volley Offanengo,18,Rachele Nardelli,Schiacciatrice,ITA,186,2001,,,
A2 GroupB,2025/2026,Trasporti Bressan Offanengo,Volley Offanengo,21,Valentina Zago,Opposto,ITA,187,1990,,,
A2 GroupB,2025/2026,Valsabbina Millenium Brescia,Millenium Brescia,2,Arianna Vittorini,Schiacciatrice,ITA,181,2002,,,
A2 GroupB,2025/2026,Valsabbina Millenium Brescia,Millenium Brescia,3,Rossella Olivotto,Centrale,ITA,189,1991,,,
A2 GroupB,2025/2026,Valsabbina Millenium Brescia,Millenium Brescia,4,Dalila Modestino,Centrale,ITA,185,1998,,,
A2 GroupB,2025/2026,Valsabbina Millenium Brescia,Millenium Brescia,5,Francesca Michieletto,Schiacciatrice,ITA,184,1997,,,
A2 GroupB,2025/2026,Valsabbina Millenium Brescia,Millenium Brescia,7,Lea Andrea Orlandi,Centrale,ITA,182,2006,,,
A2 GroupB,2025/2026,Valsabbina Millenium Brescia,Millenium Brescia,8,Caterina Schillkowski,Palleggiatrice,ITA,184,2007,,,
A2 GroupB,2025/2026,Valsabbina Millenium Brescia,Millenium Brescia,10,Beatrice Parrocchiale,Libero,ITA,167,1995,,,
A2 GroupB,2025/2026,Valsabbina Millenium Brescia,Millenium Brescia,11,Vittoria Prandi,Palleggiatrice,ITA,180,1994,,,
A2 GroupB,2025/2026,Valsabbina Millenium Brescia,Millenium Brescia,12,Katrina Struka,Opposto,LAT,187,2007,,,
A2 GroupB,2025/2026,Valsabbina Millenium Brescia,Millenium Brescia,13,Elena Arici,Libero,ITA,170,2007,,,
A2 GroupB,2025/2026,Valsabbina Millenium Brescia,Millenium Brescia,16,Giorgia Amoruso,Schiacciatrice,ITA,185,2006,,,
A2 GroupB,2025/2026,Valsabbina Millenium Brescia,Millenium Brescia,18,Julia Kavalenka,Opposto,POR,191,1999,,,
A2 GroupB,2025/2026,Volley Modena,Modena,1,Lia Righi,Libero,ITA,165,2006,,,
A2 GroupB,2025/2026,Volley Modena,Modena,3,Mariia Kaplanska,Schiacciatrice,UKR,182,2003,,,
A2 GroupB,2025/2026,Volley Modena,Modena,4,Benedetta Credi,Centrale,ITA,189,2000,,,
A2 GroupB,2025/2026,Volley Modena,Modena,6,Arianna Visentin,Schiacciatrice,ITA,180,2006,,,
A2 GroupB,2025/2026,Volley Modena,Modena,7,Sara Dodi,Schiacciatrice,ITA,180,2007,,,
A2 GroupB,2025/2026,Volley Modena,Modena,8,Lisa Sazzi,Palleggiatrice,ITA,167,2000,,,
A2 GroupB,2025/2026,Volley Modena,Modena,9,Brunella Fusco,Schiacciatrice,ITA,179,2007,,,
A2 GroupB,2025/2026,Volley Modena,Modena,10,Elisa Lancellotti,Palleggiatrice,ITA,173,1991,,,
A2 GroupB,2025/2026,Volley Modena,Modena,11,Federica Nonnati,Opposto,ITA,185,1999,,,
A2 GroupB,2025/2026,Volley Modena,Modena,13,Elitsa Kostadinova Barakova,Opposto,BUL,cm,1997,,,
A2 GroupB,2025/2026,Volley Modena,Modena,16,Camilla Gerosa,Centrale,ITA,180,2001,,,
A2 GroupB,2025/2026,Volley Modena,Modena,17,Bibiana Guzin,Centrale,ITA,184,2004,,,
A2 GroupB,2025/2026,Volley Modena,Modena,18,Ludovica Zironi,Libero,ITA,175,2006,,,
