Division,Season,Team,Club,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
A1,2023/2024,Cucine Lube Civitanova,Lube,6 ,BISOTTO Francesco,Libero,2002,180,CN,ITA,-,-
A1,2023/2024,Cucine Lube Civitanova,Lube,7 ,BALASO Fabio,Libero,1995,178,PD,ITA,-,-
A1,2023/2024,Cucine Lube Civitanova,Lube,9 ,ZAYTSEV Ivan,Schiacciatore,1988,204,PG,ITA,-,-
A1,2023/2024,Cucine Lube Civitanova,Lube,10 ,LAGUMDZIJA Adis,Schiacciatore,1999,211,BIH,TUR,-,-
A1,2023/2024,Cucine Lube Civitanova,Lube,11 ,NIKOLOV Aleksandar,Schiacciatore,2003,206,FRA,BUL,-,-
A1,2023/2024,Cucine Lube Civitanova,Lube,12 ,DIAMANTINI Enrico,Centrale,1993,204,PU,ITA,-,-
A1,2023/2024,Cucine Lube Civitanova,Lube,15 ,DE CECCO Luciano,Palleggiatore,1988,194,ARG,ARG,-,-
A1,2023/2024,Cucine Lube Civitanova,Lube,17 ,ANZANI Simone,Centrale,1992,203,CO,ITA,-,-
A1,2023/2024,Cucine Lube Civitanova,Lube,21 ,BOTTOLO Mattia,Schiacciatore,2000,196,VI,ITA,-,-
A1,2023/2024,Cucine Lube Civitanova,Lube,22 ,LARIZZA Jacopo,Centrale,1998,204,MC,ITA,-,-
A1,2023/2024,Cucine Lube Civitanova,Lube,23 ,YANT HERRERA Marlon,Schiacciatore,2001,204,CUB,CUB,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,1 ,BASIC Luka,Schiacciatore,1995,201,FRA,FRA,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,2 ,PIERRI Francesco,Libero,1999,180,LE,ITA,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,3 ,CAVACCINI Domenico,Libero,1987,178,SA,ITA,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,4 ,GUARIENTI ZAPPOLI Enrico,Schiacciatore,1995,197,BRA,BRA,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,5 ,ORDUNA Santiago,Palleggiatore,1983,183,ARG,ITA,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,6 ,MASSARI Jacopo,Schiacciatore,1988,185,PR,ITA,dal 27/11/2023,-
A1,2023/2024,Farmitalia Catania,Acicastello,7 ,TONDO Alessandro,Centrale,1991,202,LE,ITA,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,8 ,MASULOVIC Nemanja,Centrale,1995,205,SRB,SRB,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,10 ,FRUMUSELU Cristian,Centrale,1997,207,ROM,ITA,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,11 ,BALDI Andrea,Schiacciatore,2000,197,BS,ITA,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,14 ,MANAVINEZHAD Mohammadjavad,Schiacciatore,1995,200,IRI,IRI,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,15 ,BOSSI Elia,Centrale,1994,202,TS,ITA,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,17 ,BUCHEGGER Paul,Schiacciatore,1996,204,AUT,AUT,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,18 ,RANDAZZO Luigi,Schiacciatore,1994,200,CT,ITA,-,-
A1,2023/2024,Farmitalia Catania,Acicastello,44 ,SANTAMBROGIO Filippo,Palleggiatore,1999,181,MI,ITA,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,2 ,HOFFER Nicolò,Libero,2000,180,VR,ITA,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,3 ,RECINE Francesco,Schiacciatore,1999,185,RA,ITA,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,4 ,GIRONI Fabrizio,Schiacciatore,2000,200,MB,ITA,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,5 ,ALONSO Roamy,Centrale,1997,201,CUB,CUB,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,6 ,BRIZARD Antoine,Palleggiatore,1994,200,FRA,FRA,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,8 ,SANTOS DE SOUZA Ricardo Lucarelli,Schiacciatore,1992,196,BRA,BRA,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,9 ,LEAL Yoandy,Schiacciatore,1988,201,CUB,BRA,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,10 ,SCANFERLA Leonardo,Libero,1998,184,PD,ITA,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,12 ,RICCI Fabio,Centrale,1994,205,RA,ITA,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,13 ,SIMON Robertlandy,Centrale,1987,208,CUB,CUB,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,15 ,ANDRINGA Robbert,Schiacciatore,1990,191,NED,NED,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,17 ,ROMANÒ Yuri,Schiacciatore,1997,203,MB,ITA,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,18 ,CANESCHI Edoardo,Centrale,1997,205,AR,ITA,-,-
A1,2023/2024,Gas Sales Bluenergy Piacenza,Piacenza,19 ,DIAS Bruno,Palleggiatore,2003,188,POR,POR,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,3 ,GARGIULO Giovanni Maria,Centrale,1999,210,NA,ITA,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,4 ,ALLETTI Aimone,Centrale,1988,207,LO,ITA,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,5 ,LUZZI Davide,Libero,2004,180,TA,ITA,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,6 ,RIZZO Marco,Libero,1990,185,LE,ITA,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,7 ,TRINIDAD DE HARO Angel,Palleggiatore,1993,195,ESP,ESP,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,9 ,EKSTRAND Hampus,Schiacciatore,2003,202,SWE,SWE,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,10 ,LANZA Filippo,Schiacciatore,1991,196,VR,ITA,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,11 ,JENDRYK Jeffrey,Centrale,1995,208,USA,USA,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,14 ,SALA Lorenzo,Schiacciatore,2002,200,TN,ITA,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,15 ,RUSSELL Kyle,Schiacciatore,1993,206,USA,USA,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,17 ,BONACCHI Federico,Palleggiatore,2004,189,MI,ITA,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,22 ,GUTIERREZ Josè Miguel,Schiacciatore,2001,194,-,CUB,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,27 ,PAGLIALUNGA Luca,Schiacciatore,2004,192,BA,ITA,-,-
A1,2023/2024,Gioiella Prisma Taranto,Taranto,77 ,RAFFAELLI Giacomo,Schiacciatore,1995,194,GR,ITA,-,-
A1,2023/2024,Itas Trentino,Trent,2 ,NELLI Gabriele,Schiacciatore,1993,208,LU,ITA,-,-
A1,2023/2024,Itas Trentino,Trent,3 ,D'HEER Wout,Centrale,2001,203,BEL,BEL,-,-
A1,2023/2024,Itas Trentino,Trent,4 ,KOZAMERNIK Jan,Centrale,1995,204,SLO,SLO,-,-
A1,2023/2024,Itas Trentino,Trent,5 ,MICHIELETTO Alessandro,Schiacciatore,2001,211,BS,ITA,-,-
A1,2023/2024,Itas Trentino,Trent,6 ,SBERTOLI Riccardo,Palleggiatore,1998,190,MI,ITA,-,-
A1,2023/2024,Itas Trentino,Trent,7 ,CAVUTO Oreste,Schiacciatore,1996,199,CH,ITA,-,-
A1,2023/2024,Itas Trentino,Trent,8 ,PACE Domenico,Libero,2000,180,BA,ITA,-,-
A1,2023/2024,Itas Trentino,Trent,10 ,BERGER Martin,Centrale,2003,205,BZ,ITA,-,-
A1,2023/2024,Itas Trentino,Trent,11 ,RYCHLICKI Kamil,Schiacciatore,1996,204,LUX,ITA,-,-
A1,2023/2024,Itas Trentino,Trent,12 ,MAGALINI Giulio,Schiacciatore,2001,196,VR,ITA,-,-
A1,2023/2024,Itas Trentino,Trent,13 ,LAURENZANO Gabriele,Libero,2003,176,CS,ITA,-,-
A1,2023/2024,Itas Trentino,Trent,15 ,LAVIA Daniele,Schiacciatore,1999,200,CS,ITA,-,-
A1,2023/2024,Itas Trentino,Trent,18 ,PODRASCANIN Marko,Centrale,1987,203,SRB,SRB,-,-
A1,2023/2024,Itas Trentino,Trent,19 ,GARCIA Matthieu,Palleggiatore,2000,184,FRA,FRA,dal 05/03/2024,-
A1,2023/2024,Itas Trentino,Trent,24 ,ACQUARONE Alessandro,Palleggiatore,1999,183,IM,ITA,-,-
A1,2023/2024,Mint Vero Volley Monza,Monza,1 ,VISIC Petar,Palleggiatore,1998,198,CRO,CRO,-,-
A1,2023/2024,Mint Vero Volley Monza,Monza,4 ,LOEPPKY Eric,Schiacciatore,1998,197,CAN,CAN,-,-
A1,2023/2024,Mint Vero Volley Monza,Monza,6 ,COMPARONI Francesco,Centrale,2001,204,PR,ITA,-,-
A1,2023/2024,Mint Vero Volley Monza,Monza,7 ,MAAR Stephen,Schiacciatore,1994,201,CAN,CAN,-,-
A1,2023/2024,Mint Vero Volley Monza,Monza,8 ,MUJANOVIC Nik,Schiacciatore,2004,205,SLO,-,dal 04/12/2023,-
A1,2023/2024,Mint Vero Volley Monza,Monza,10 ,MORAZZINI Flavio,Libero,2005,187,RM,ITA,-,-
A1,2023/2024,Mint Vero Volley Monza,Monza,11 ,GALASSI Gianluca,Centrale,1997,201,TN,ITA,-,-
A1,2023/2024,Mint Vero Volley Monza,Monza,12 ,TAKAHASHI Ran,Schiacciatore,2001,188,JPN,JPN,-,-
A1,2023/2024,Mint Vero Volley Monza,Monza,13 ,BERETTA Thomas,Centrale,1990,205,MI,ITA,-,-
A1,2023/2024,Mint Vero Volley Monza,Monza,14 ,KRELING Fernando,Palleggiatore,1996,185,BRA,BRA,-,-
A1,2023/2024,Mint Vero Volley Monza,Monza,18 ,DI MARTINO Gabriele,Centrale,1997,199,RM,ITA,-,-
A1,2023/2024,Mint Vero Volley Monza,Monza,20 ,GAGGINI Marco,Libero,2002,184,VA,ITA,-,-
A1,2023/2024,Mint Vero Volley Monza,Monza,31 ,SZWARC Arthur,Schiacciatore,1995,207,CAN,CAN,-,-
A1,2023/2024,Mint Vero Volley Monza,Monza,9 ,LAWANI Ibrahim,Schiacciatore,2001,199,FRA,FRA,fino al 16/11/2023,-
A1,2023/2024,Mint Vero Volley Monza,Monza,2 ,MARTTILA Luka,Schiacciatore,2003,197,FIN,FIN,fino al 27/09/2023,-
A1,2023/2024,Pallavolo Padova,Padova,1 ,GARDINI Davide,Schiacciatore,1999,206,TV,ITA,-,-
A1,2023/2024,Pallavolo Padova,Padova,3 ,STEFANI Tommaso,Schiacciatore,2001,210,FI,ITA,dal 03/01/2024,-
A1,2023/2024,Pallavolo Padova,Padova,5 ,FALASCHI Marco,Palleggiatore,1987,188,PI,ITA,-,-
A1,2023/2024,Pallavolo Padova,Padova,7 ,ZOPPELLARI Francesco,Palleggiatore,1997,185,PD,ITA,-,-
A1,2023/2024,Pallavolo Padova,Padova,8 ,PLAK Fabian,Centrale,1997,198,NED,NED,-,-
A1,2023/2024,Pallavolo Padova,Padova,9 ,GUZZO Tommaso,Schiacciatore,2002,197,PD,ITA,-,-
A1,2023/2024,Pallavolo Padova,Padova,10 ,GARCIA FERNANDEZ Gabi,Schiacciatore,1999,200,PUR,USA,-,-
A1,2023/2024,Pallavolo Padova,Padova,13 ,ZENGER Julian,Libero,1997,190,GER,GER,-,-
A1,2023/2024,Pallavolo Padova,Padova,15 ,DESMET Mathijs,Schiacciatore,2000,198,BEL,BEL,-,-
A1,2023/2024,Pallavolo Padova,Padova,17 ,PORRO Luca,Schiacciatore,2004,194,GE,ITA,-,-
A1,2023/2024,Pallavolo Padova,Padova,18 ,TRUOCCHIO Andrea,Centrale,2000,207,PT,ITA,-,-
A1,2023/2024,Pallavolo Padova,Padova,20 ,TANIGUCHI Wataru,Libero,1996,174,JPN,JPN,-,-
A1,2023/2024,Pallavolo Padova,Padova,22 ,CROSATO Federico,Centrale,2002,202,TV,ITA,-,-
A1,2023/2024,Pallavolo Padova,Padova,99 ,FUSARO Francesco,Centrale,1999,201,VE,ITA,-,-
A1,2023/2024,Pallavolo Padova,Padova,12 ,CARDENAS MORALES Julio Cesar,Schiacciatore,2000,197,CUB,CUB,fino al 02/02/2024,-
A1,2023/2024,Pallavolo Padova,Padova,3 ,RUSSO Davide Luigi,Libero,2001,180,LE,ITA,fino al 07/11/2023,-
A1,2023/2024,Rana Verona,Verona,1 ,ZINGEL Aidan,Centrale,1990,207,AUS,ITA,dal 28/09/2023,-
A1,2023/2024,Rana Verona,Verona,2 ,CORTESIA Lorenzo,Centrale,1999,202,TV,ITA,-,-
A1,2023/2024,Rana Verona,Verona,4 ,DZAVORONOK Donovan,Schiacciatore,1997,202,CZE,CZE,-,-
A1,2023/2024,Rana Verona,Verona,6 ,D'AMICO Francesco,Libero,1999,179,BR,ITA,-,-
A1,2023/2024,Rana Verona,Verona,7 ,JOVOVIC Nikola,Palleggiatore,1992,197,SRB,SRB,-,-
A1,2023/2024,Rana Verona,Verona,9 ,KEITA Noumory,Schiacciatore,2001,206,MLI,MLI,-,-
A1,2023/2024,Rana Verona,Verona,10 ,ESMAEILNEZHAD Amin,Schiacciatore,1996,203,IRI,IRI,-,-
A1,2023/2024,Rana Verona,Verona,11 ,GROZDANOV Aleks,Centrale,1998,207,BUL,BUL,-,-
A1,2023/2024,Rana Verona,Verona,13 ,SPIRITO Luca,Palleggiatore,1993,199,SV,ITA,-,-
A1,2023/2024,Rana Verona,Verona,15 ,BONISOLI Pietro,Libero,2005,182,BS,ITA,-,-
A1,2023/2024,Rana Verona,Verona,16 ,SANI Francesco,Schiacciatore,2002,203,USA,ITA,-,-
A1,2023/2024,Rana Verona,Verona,18 ,MOSCA Leandro,Centrale,2000,209,MC,ITA,-,-
A1,2023/2024,Rana Verona,Verona,19 ,MOZIC Rok,Schiacciatore,2002,200,SLO,SLO,-,-
A1,2023/2024,Rana Verona,Verona,21 ,ZANOTTI Andrea,Centrale,1997,195,VR,ITA,-,-
A1,2023/2024,Rana Verona,Verona,23 ,TRUHTCHEV Axel,Schiacciatore,1995,195,FRA,FRA,fino al 24/11/2023,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,2 ,CANDELLARO Davide,Centrale,1989,200,PD,ITA,-,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,3 ,HELD Tim,Schiacciatore,1998,195,MC,ITA,-,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,6 ,GIANNELLI Simone,Palleggiatore,1996,200,BZ,ITA,-,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,7 ,HERRERA JAIME Jesus,Schiacciatore,1995,196,CUB,CUB,-,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,8 ,TOSCANI Alessandro,Libero,1998,183,CH,ITA,-,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,9 ,LEON VENERO Wilfredo,Schiacciatore,1993,201,CUB,POL,-,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,10 ,BEN TARA Wassim,Schiacciatore,1996,203,TUN,TUN,-,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,11 ,SOLÉ Sebastian,Centrale,1991,202,ARG,ITA,-,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,13 ,COLACI Massimo,Libero,1985,180,LE,ITA,-,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,15 ,RESENDE GUALBERTO Flavio,Centrale,1993,200,BRA,BRA,-,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,16 ,SEMENIUK Kamil,Schiacciatore,1996,194,POL,POL,-,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,17 ,PLOTNYTSKYI Oleh,Schiacciatore,1997,194,UKR,UKR,-,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,19 ,RUSSO Roberto,Centrale,1997,205,PA,ITA,-,-
A1,2023/2024,Sir Susa Vim Perugia,Perugia,20 ,ROPRET Gregor,Palleggiatore,1989,193,SLO,SLO,-,-
A1,2023/2024,Valsa Group Modena,Modena,1 ,MOSSA DE REZENDE Bruno,Palleggiatore,1986,190,BRA,BRA,-,-
A1,2023/2024,Valsa Group Modena,Modena,2 ,BONINFANTE Mattia,Palleggiatore,2004,190,VE,ITA,-,-
A1,2023/2024,Valsa Group Modena,Modena,5 ,JUANTORENA Osmany,Schiacciatore,1985,200,CUB,ITA,-,-
A1,2023/2024,Valsa Group Modena,Modena,6 ,SANGUINETTI Giovanni,Centrale,2000,202,BO,ITA,-,-
A1,2023/2024,Valsa Group Modena,Modena,7 ,STANKOVIC Dragan,Centrale,1985,205,SRB,ITA,-,-
A1,2023/2024,Valsa Group Modena,Modena,8 ,PINALI Giulio,Schiacciatore,1997,198,BO,ITA,-,-
A1,2023/2024,Valsa Group Modena,Modena,10 ,PINALI Roberto,Schiacciatore,1995,187,BO,ITA,-,-
A1,2023/2024,Valsa Group Modena,Modena,11 ,GOLLINI Riccardo,Libero,2000,194,MO,ITA,-,-
A1,2023/2024,Valsa Group Modena,Modena,12 ,SAPOZHKOV Maksim,Schiacciatore,2000,220,RUS,RUS,-,-
A1,2023/2024,Valsa Group Modena,Modena,13 ,MENCHETTI Federico,Libero,2007,-,-,ITA,dal 10/02/2024,-
A1,2023/2024,Valsa Group Modena,Modena,14 ,BREHME Anton,Centrale,1999,206,GER,GER,-,-
A1,2023/2024,Valsa Group Modena,Modena,15 ,DAVYSKIBA Vlad,Schiacciatore,2001,197,BLR,BLR,-,-
A1,2023/2024,Valsa Group Modena,Modena,17 ,FEDERICI Filippo,Libero,2000,182,AN,ITA,-,-
A1,2023/2024,Valsa Group Modena,Modena,18 ,SIGHINOLFI Nicholas,Centrale,1994,206,MO,ITA,-,-
A1,2023/2024,Valsa Group Modena,Modena,90 ,RINALDI Tommaso,Schiacciatore,2001,200,CN,ITA,-,-
A2,2023/2024,Abba Pineto,Pineto,1 ,SANTANGELO Andrea,Schiacciatore,1994,-,IS,ITA,dal 13/01/2024,-
A2,2023/2024,Abba Pineto,Pineto,2 ,MIGNANO Matteo,Palleggiatore,2002,197,PN,ITA,-,-
A2,2023/2024,Abba Pineto,Pineto,3 ,PESARE Giancarlo,Libero,1995,178,CH,ITA,-,-
A2,2023/2024,Abba Pineto,Pineto,4 ,SORGENTE Alessandro,Libero,1993,185,VT,ITA,-,-
A2,2023/2024,Abba Pineto,Pineto,5 ,JERONCIC Rok,Centrale,2001,207,SLO,ITA,-,-
A2,2023/2024,Abba Pineto,Pineto,7 ,FRAC Mateusz,Schiacciatore,1991,200,POL,-,dal 13/11/2023,-
A2,2023/2024,Abba Pineto,Pineto,8 ,BASSO Enrico,Centrale,2000,197,PD,ITA,-,-
A2,2023/2024,Abba Pineto,Pineto,9 ,DI SILVESTRE Paolo Luigi,Schiacciatore,1998,195,PE,ITA,-,-
A2,2023/2024,Abba Pineto,Pineto,10 ,PARIS Matteo,Palleggiatore,1983,188,RM,ITA,-,-
A2,2023/2024,Abba Pineto,Pineto,11 ,NIKACEVIC Kruno,Centrale,1996,202,GER,CRO,-,-
A2,2023/2024,Abba Pineto,Pineto,12 ,LOGLISCI Gianluca,Schiacciatore,1998,195,MN,ITA,-,-
A2,2023/2024,Abba Pineto,Pineto,13 ,PANCIOCCO Marco Rocco,Schiacciatore,1999,200,RM,ITA,dal 24/11/2023,proveniente da Consar Ravenna
A2,2023/2024,Abba Pineto,Pineto,17 ,MSATFI Zouhair,Schiacciatore,1997,185,UD,ITA,-,-
A2,2023/2024,Abba Pineto,Pineto,18 ,MAROLLA Angelo,Schiacciatore,1983,175,RM,ITA,-,-
A2,2023/2024,Abba Pineto,Pineto,6 ,CHAVERS Corey,Schiacciatore,1997,197,USA,USA,fino al 08/01/2024,-
A2,2023/2024,Abba Pineto,Pineto,99 ,BENAVIDEZ Felipe,Schiacciatore,1997,194,ARG,POR,fino al 23/11/2023,trasferito a Consar Ravenna
A2,2023/2024,Abba Pineto,Pineto,7 ,PADURA DIAZ Williams,Schiacciatore,1986,200,CUB,ITA,fino al 29/10/2023,trasferito a Just British Bari
A2,2023/2024,Abba Pineto,Pineto,1 ,MIRANDA Henry,Schiacciatore,1997,191,CUB,ITA,fino al 22/09/2023,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",-,COMPAGNONI Federico,Schiacciatore,2003,205,MN,ITA,dal 16/12/2023,proveniente da Tim Montaggi Marcianise
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",3 ,TZIOUMAKAS Stylianos,Schiacciatore,1998,195,GRE,GRE,dal 19/01/2024,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",4 ,BERMUDEZ Willian Alejandro,Schiacciatore,1994,205,COL,COL,-,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",5 ,CICCOLELLA Nicolò,Centrale,2004,195,BA,ITA,-,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",6 ,POL Alberto,Schiacciatore,2001,201,TV,ITA,-,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",8 ,MENCHETTI Filippo,Schiacciatore,2003,193,PO,ITA,-,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",9 ,BALESTRA Cosimo,Centrale,2003,200,TA,ITA,-,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",10 ,RAMPAZZO Emanuele,Palleggiatore,2003,193,PD,ITA,-,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",11 ,FANIZZA Alessandro,Palleggiatore,2004,192,BR,ITA,-,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",13 ,GUADAGNINI Federico,Schiacciatore,2004,186,BR,ITA,-,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",14 ,CIANCIOTTA Nicola,Schiacciatore,2001,196,BA,ITA,-,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",16 ,BATTISTA Leonardo,Libero,1995,180,BA,ITA,-,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",18 ,IERVOLINO Riccardo,Schiacciatore,2003,193,BS,ITA,-,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",22 ,CEBAN Victorio,Centrale,2001,203,FE,ITA,-,-
A2,2023/2024,BCC Tecbus Castellana Grotte,"Castellana Grotte Mater	",3 ,PRINCI Ismael,Schiacciatore,2000,198,GO,ITA,fino al 14/12/2023,trasferito a Tim Montaggi Marcianise
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,-,PRETI Alessandro,Schiacciatore,1992,204,AUT,ITA,dal 21/12/2023,-
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,1 ,CACIAGLI Lorenzo,Centrale,2000,197,RE,ITA,-,-
A2,2023/2024,Conad Reggio Emilia,Reggio Emilia,3 ,MARIANO Romolo,Schiacciatore,1991,190,BG,ITA,-,-
