Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,Set Won,Set Lost,Set1_Point_Won_Part1,Set1_Point_Won_Part2,Set1_Point_Won_Part3,Set1_Point_Won,Set1_Point_Lost_Part1,Set1_Point_Lost_Part2,Set1_Point_Lost_Part3,Set1_Point_Lost,Set2_Point_Won_Part1,Set2_Point_Won_Part2,Set2_Point_Won_Part3,Set2_Point_Won,Set2_Point_Lost_Part1,Set2_Point_Lost_Part2,Set2_Point_Lost_Part3,Set2_Point_Lost,Set3_Point_Won_Part1,Set3_Point_Won_Part2,Set3_Point_Won_Part3,Set3_Point_Won,Set3_Point_Lost_Part1,Set3_Point_Lost_Part2,Set3_Point_Lost_Part3,Set3_Point_Lost,Set4_Point_Won_Part1,Set4_Point_Won_Part2,Set4_Point_Won_Part3,Set4_Point_Won,Set4_Point_Lost_Part1,Set4_Point_Lost_Part2,Set4_Point_Lost_Part3,Set4_Point_Lost,Set5_Point_Won_Part1,Set5_Point_Won_Part2,Set5_Point_Won_Part3,Set5_Point_Won,Set5_Point_Lost_Part1,Set5_Point_Lost_Part2,Set5_Point_Lost_Part3,Set5_Point_Lost,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt
2021/2022,A1,Regular_Season,1st,2,-,13,16/10/2021,20:30,679,1960,O,Kioene Padova,Padova,3,1,8,16,21,25,6,14,17,22,6,16,21,25,8,14,18,22,7,13,19,19,8,16,21,25,8,16,21,25,5,12,18,22,-,-,-,-,-,-,-,-,65,26,3,93,26,7,76,2,0.47,0.22,117,8,9,49,0.42,-,9
2021/2022,A1,Regular_Season,1st,3,-,15,31/10/2021,18:00,2467,36357,C,Itas Trentino,Trento,3,1,8,16,21,25,4,12,14,16,5,11,16,21,8,16,21,25,8,16,21,25,5,8,9,11,8,16,20,26,7,15,21,24,-,-,-,-,-,-,-,-,71,26,22,96,13,5,65,5,0.45,0.12,97,1,8,56,0.58,-,10
2021/2022,A1,Regular_Season,1st,3,-,15,31/10/2021,18:00,2467,36357,O,Cucine Lube Civitanova,Lube,1,3,4,12,14,16,8,16,21,25,8,16,21,25,5,11,16,21,5,8,9,11,8,16,21,25,7,15,21,24,8,16,20,26,-,-,-,-,-,-,-,-,63,16,2,77,11,5,83,5,0.49,0.13,106,12,10,50,0.47,-,8
2021/2022,A1,Regular_Season,1st,3,-,16,31/10/2021,20:30,952,3704,C,Vero Volley Monza,Monza Vero Volley,3,0,8,16,21,25,6,12,17,18,6,14,21,25,8,16,20,23,8,16,21,25,4,9,16,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,26,14,74,13,5,52,3,0.63,0.37,76,6,3,39,0.51,-,14
2021/2022,A1,Regular_Season,1st,3,-,16,31/10/2021,20:30,952,3704,O,Gioiella Prisma Taranto,Taranto,0,3,6,12,17,18,8,16,21,25,8,16,20,23,6,14,21,25,4,9,16,18,8,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,11,-9,60,8,3,61,5,0.52,0.25,81,6,14,34,0.42,-,3
2021/2022,A1,Regular_Season,1st,3,-,17,30/10/2021,18:00,1045,9364,C,Gas Sales Bluenergy Piacenza,PiacenzaYou,3,2,4,5,10,16,8,16,21,25,6,15,21,25,8,16,20,21,7,13,17,26,8,16,21,24,4,10,15,20,8,16,21,25,5,10,12,15,2,3,5,6,76,28,1,102,24,5,83,3,0.54,0.34,135,16,12,59,0.44,-,12
2021/2022,A1,Regular_Season,1st,3,-,17,30/10/2021,18:00,1045,9364,O,Allianz Milano,Milano Power,2,3,8,16,21,25,4,5,10,16,8,16,20,21,6,15,21,25,8,16,21,24,7,13,17,26,8,16,21,25,4,10,15,20,2,3,5,6,5,10,12,15,59,20,-14,101,18,3,78,5,0.36,0.23,123,5,12,45,0.37,-,12
2021/2022,A1,Regular_Season,1st,3,-,18,30/10/2021,20:30,3006,32866,C,Leo Shoes PerkinElmer Modena,Modena,3,0,8,16,21,25,5,11,15,20,8,15,19,26,7,16,21,24,5,12,21,25,8,16,19,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,17,16,75,13,5,55,2,0.4,0.25,79,4,7,43,0.54,-,11
2021/2022,A1,Regular_Season,1st,3,-,18,30/10/2021,20:30,3006,32866,O,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,0,3,5,11,15,20,8,16,21,25,7,16,21,24,8,15,19,26,8,16,19,22,5,12,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,10,-2,67,12,2,62,5,0.4,0.26,76,4,11,39,0.51,-,7
2021/2022,A1,Regular_Season,1st,3,-,19,31/10/2021,15:30,1014,6403,C,Verona Volley,Verona,1,3,8,12,17,20,4,16,21,25,6,16,18,27,8,15,21,29,8,16,21,25,5,11,14,19,6,12,19,21,8,16,21,25,-,-,-,-,-,-,-,-,70,18,11,95,19,3,84,2,0.38,0.26,122,6,13,64,0.52,-,3
2021/2022,A1,Regular_Season,1st,3,-,19,31/10/2021,15:30,1014,6403,O,Top Volley Cisterna,Latina,3,1,4,16,21,25,8,12,17,20,8,15,21,29,6,16,18,27,5,11,14,19,8,16,21,25,8,16,21,25,6,12,19,21,-,-,-,-,-,-,-,-,68,23,11,97,13,2,76,3,0.39,0.22,104,8,3,53,0.51,-,13
2021/2022,A1,Regular_Season,1st,3,-,20,31/10/2021,18:00,950,4557,C,Kioene Padova,Padova,3,2,8,16,21,25,4,11,12,14,6,14,18,23,8,16,21,25,6,16,21,25,8,11,14,18,8,13,15,21,6,16,21,25,5,10,12,15,1,4,5,8,78,36,11,108,22,11,71,5,0.54,0.2,120,17,9,54,0.45,-,13
2021/2022,A1,Regular_Season,1st,3,-,20,31/10/2021,18:00,950,4557,O,Consar RCM Ravenna,Ravenna Robur,2,3,4,11,12,14,8,16,21,25,8,16,21,25,6,14,18,23,8,11,14,18,6,16,21,25,6,16,21,25,8,13,15,21,1,4,5,8,5,10,12,15,48,15,-23,91,20,5,86,11,0.43,0.16,104,9,13,34,0.33,-,9
2021/2022,A1,Regular_Season,1st,4,-,22,3/11/2021,20:30,1596,16983,C,Cucine Lube Civitanova,Lube,3,0,8,16,21,25,7,13,18,22,8,16,21,25,6,12,16,20,5,16,21,25,8,15,17,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,21,15,74,11,7,55,3,0.55,0.36,79,5,6,46,0.58,-,6
2021/2022,A1,Regular_Season,1st,4,-,22,3/11/2021,20:30,1596,16983,O,Verona Volley,Verona,0,3,7,13,18,22,8,16,21,25,6,12,16,20,8,16,21,25,8,15,17,20,5,16,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,14,1,63,8,2,63,7,0.4,0.21,77,6,6,38,0.49,-,6
2021/2022,A1,Regular_Season,1st,4,-,23,3/11/2021,20:30,1378,14311,C,Itas Trentino,Trento,2,3,8,16,21,25,3,10,13,17,8,16,20,28,6,15,21,30,8,15,20,24,5,16,21,26,8,16,21,25,3,11,16,16,5,10,12,17,4,8,10,19,79,32,7,120,15,7,80,10,0.44,0.18,120,5,11,57,0.48,-,15
2021/2022,A1,Regular_Season,1st,4,-,23,3/11/2021,20:30,1378,14311,O,Kioene Padova,Padova,3,2,3,10,13,17,8,16,21,25,6,15,21,30,8,16,20,28,5,16,21,26,8,15,20,24,3,11,16,16,8,16,21,25,4,8,10,19,5,10,12,17,84,21,-6,108,28,10,105,8,0.41,0.12,149,10,15,63,0.42,-,11
2021/2022,A1,Regular_Season,1st,4,-,24,3/11/2021,20:30,738,1895,C,Tonno Callipo Calabria Vibo Valentia,Vibo Valentia,0,3,4,14,16,20,8,16,21,25,8,16,21,29,5,12,18,31,8,16,20,23,6,15,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,10,-6,74,14,1,63,2,0.59,0.37,93,7,13,40,0.43,-,7
2021/2022,A1,Regular_Season,1st,4,-,24,3/11/2021,20:30,738,1895,O,Allianz Milano,Milano Power,3,0,8,16,21,25,4,14,16,20,5,12,18,31,8,16,21,29,6,15,21,25,8,16,20,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,17,16,78,15,2,60,1,0.65,0.42,84,6,7,44,0.52,-,13
